metric,value
model,visiontspp
eval_data,data\datasets\Imputed_Ablation\position\BM\BM_030\exchange_rate_BM_position_back_length50_030_long_gp_rbf.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.03445310033933081
MSE[0.5],0.03445310033933081
MAE[0.5],0.16239668412642044
MASE[0.5],58.06597305726347
MAPE[0.5],0.23927290482954544
sMAPE[0.5],0.2321592034960516
MSIS,241.78994092017703
RMSE[mean],0.1856154636320229
NRMSE[mean],0.2683894282395239
ND[0.5],0.23481639055187561
mean_weighted_sum_quantile_loss,0.1718741003929506
