metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_050\azure2019_U_5T_BM_length50_050_long_forward.csv
clean_data,data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],1347.1979166666667
MSE[0.5],1347.1979166666667
MAE[0.5],26.145109049479167
MASE[0.5],0.7764180576616017
MAPE[0.5],2.1416249593098957
sMAPE[0.5],0.9765779808335702
MSIS,3.676410922201285
RMSE[mean],36.70419481022117
NRMSE[mean],1.4100933957927757
ND[0.5],1.0044368441692662
mean_weighted_sum_quantile_loss,0.7834831196210399
