metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_050\electricity_BM_length50_050_long_forward.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],133677.15444444446
MSE[0.5],133677.15444444446
MAE[0.5],273.867578125
MASE[0.5],0.937534080246932
MAPE[0.5],0.08314605825220067
sMAPE[0.5],0.08121909654440679
MSIS,7.2984353432558935
RMSE[mean],365.61886500076065
NRMSE[mean],0.11027988427667233
ND[0.5],0.08260537875334929
mean_weighted_sum_quantile_loss,0.06664486332404333
