metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_010\electricity_BM_length50_010_long_linear.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],100633.18444444444
MSE[0.5],100633.18444444444
MAE[0.5],222.14375868055555
MASE[0.5],0.7634978599931687
MAPE[0.5],0.06536018948595063
sMAPE[0.5],0.06509727605018499
MSIS,5.738627738782725
RMSE[mean],317.2273387406017
NRMSE[mean],0.09568377771108037
ND[0.5],0.06700416839821907
mean_weighted_sum_quantile_loss,0.053145851134147326
