metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_060\electricity_BM_length50_060_long_mean.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],268401.11333333334
MSE[0.5],268401.11333333334
MAE[0.5],403.74971354166667
MASE[0.5],1.3836369986991253
MAPE[0.5],0.1224441787949684
sMAPE[0.5],0.12026388568056935
MSIS,10.558950014947232
RMSE[mean],518.0744283723462
NRMSE[mean],0.15626433282507632
ND[0.5],0.12178111128380088
mean_weighted_sum_quantile_loss,0.09205952047366184
