metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_020\exchange_rate_BM_length50_020_long_mean.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.0060261913261028255
MSE[0.5],0.0060261913261028255
MAE[0.5],0.060238610469933715
MASE[0.5],21.62170034537606
MAPE[0.5],0.08942460493607955
sMAPE[0.5],0.09018077676447767
MSIS,149.01648356065098
RMSE[mean],0.0776285471080248
NRMSE[mean],0.11224647432765546
ND[0.5],0.0871016126868627
mean_weighted_sum_quantile_loss,0.06728116100450442
