metric,value
model,chronos2
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_040\weather_BM_length50_040_long_mean.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],413.25181857638887
MSE[0.5],413.25181857638887
MAE[0.5],14.565017903645833
MASE[0.5],0.4568109923041642
MAPE[0.5],0.03252423975202772
sMAPE[0.5],0.03348811627216184
MSIS,2.7552085081282147
RMSE[mean],20.328596079817927
NRMSE[mean],0.0468613482995961
ND[0.5],0.033575185137856976
mean_weighted_sum_quantile_loss,0.024433706011119105
