metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_010\azure2019_U_5T_BM_length50_010_long_forward.csv
clean_data,data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],1389.44296875
MSE[0.5],1357.2111979166666
MAE[0.5],35.07871365017361
MASE[0.5],1.0294049092558386
MAPE[0.5],5.011658393012153
sMAPE[0.5],1.215078103389934
MSIS,11.915585113248026
RMSE[mean],37.275232645149245
NRMSE[mean],1.4320313972649032
ND[0.5],1.347646030835723
mean_weighted_sum_quantile_loss,1.1444832821619677
