metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_020\electricity_BM_length50_020_long_forward.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],123935.38444444444
MSE[0.5],125869.18777777778
MAE[0.5],250.68484375
MASE[0.5],0.8598955604311901
MAPE[0.5],0.0735361451729775
sMAPE[0.5],0.07340362320070344
MSIS,10.11330326325992
RMSE[mean],352.0445773541249
NRMSE[mean],0.10618553627084353
ND[0.5],0.07561288052958692
mean_weighted_sum_quantile_loss,0.06256881451195927
