metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_060\ETTh1_BM_length50_060_long_gp_rbf.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],18.309655671296298
MSE[0.5],17.99451388888889
MAE[0.5],3.3853884548611113
MASE[0.5],1.408755708197249
MAPE[0.5],0.46926045925817755
sMAPE[0.5],0.38184035003834543
MSIS,25.292249464304287
RMSE[mean],4.2789783443359815
NRMSE[mean],0.3889887199676447
ND[0.5],0.3077552199797406
mean_weighted_sum_quantile_loss,0.26989946468847353
