metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_020\weather_BM_length50_020_long_gp_rbf.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],277.01271484375
MSE[0.5],277.05719618055554
MAE[0.5],12.05197740342882
MASE[0.5],0.37361077559562994
MAPE[0.5],0.02741658157772488
sMAPE[0.5],0.027441985427827508
MSIS,4.656551037477161
RMSE[mean],16.643698953169935
NRMSE[mean],0.03836694725871621
ND[0.5],0.027782140418523095
mean_weighted_sum_quantile_loss,0.023224531272265522
