metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_040\azure2019_U_5T_BM_length50_040_long_linear.csv
clean_data,data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],1298.3727430555555
MSE[0.5],1281.3321180555556
MAE[0.5],34.49738498263889
MASE[0.5],1.0139273348318179
MAPE[0.5],4.853261990017361
sMAPE[0.5],1.2093803509908165
MSIS,10.209058512563292
RMSE[mean],36.03293969488967
NRMSE[mean],1.384305269669451
ND[0.5],1.3253126785005438
mean_weighted_sum_quantile_loss,1.1071687244094603
