metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_050\ETTh1_BM_length50_050_long_mean.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],23.894888599537037
MSE[0.5],24.841927083333335
MAE[0.5],4.141429398148148
MASE[0.5],1.735458093589645
MAPE[0.5],0.819803683557243
sMAPE[0.5],0.44436700825292774
MSIS,22.53325250251703
RMSE[mean],4.8882398263114135
NRMSE[mean],0.4443748016272823
ND[0.5],0.3764845696296727
mean_weighted_sum_quantile_loss,0.31552323027048756
