metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_060\azure2019_U_5T_BM_length50_060_long_mean.csv
clean_data,data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],1235.4987847222221
MSE[0.5],1184.1309027777777
MAE[0.5],28.250314670138888
MASE[0.5],0.8359853776356371
MAPE[0.5],3.0051886664496528
sMAPE[0.5],1.1401384479036498
MSIS,18.666467979114277
RMSE[mean],35.149662654458325
NRMSE[mean],1.3503717335216756
ND[0.5],1.0853141541832008
mean_weighted_sum_quantile_loss,1.004869312092555
