metric,value
model,sundial
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_040\weather_BM_length50_040_long_mean.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],307.3166059027778
MSE[0.5],336.1204427083333
MAE[0.5],12.80201673719618
MASE[0.5],0.4002610609164993
MAPE[0.5],0.028650103410085042
sMAPE[0.5],0.029287081854086038
MSIS,4.634792407429703
RMSE[mean],17.53044796640342
NRMSE[mean],0.04041107535296823
ND[0.5],0.02951112624322369
mean_weighted_sum_quantile_loss,0.024390288589257472
