metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_030\electricity_BM_length50_030_long_forward.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],179508.79111111112
MSE[0.5],179508.79111111112
MAE[0.5],307.76241319444443
MASE[0.5],1.0560621721706343
MAPE[0.5],0.09264512760489009
sMAPE[0.5],0.09092702353851449
MSIS,15.339456746166526
RMSE[mean],423.6847780025984
NRMSE[mean],0.1277940302336887
ND[0.5],0.09282891710667647
mean_weighted_sum_quantile_loss,0.07948806196734874
