metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_020\ETTh1_BM_length50_020_long_gp_rbf.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],13.012388599537037
MSE[0.5],13.012388599537037
MAE[0.5],2.817629665798611
MASE[0.5],1.1740960581650735
MAPE[0.5],0.4040135806074766
sMAPE[0.5],0.3523941706291489
MSIS,25.458157607899295
RMSE[mean],3.6072688560096315
NRMSE[mean],0.32792568271248995
ND[0.5],0.2561420200905334
mean_weighted_sum_quantile_loss,0.2323511461319937
