metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_020\electricity_BM_length50_020_long_mean.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],122311.76444444444
MSE[0.5],122311.76444444444
MAE[0.5],251.6915451388889
MASE[0.5],0.8642469668334803
MAPE[0.5],0.07544979803081486
sMAPE[0.5],0.07437976124972683
MSIS,11.382232088038721
RMSE[mean],349.730988681936
NRMSE[mean],0.10548769949201026
ND[0.5],0.07591652709516444
mean_weighted_sum_quantile_loss,0.06417630870284569
