metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_020\azure2019_U_5T_BM_length50_020_long_gp_rbf.csv
clean_data,data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],3433.845138888889
MSE[0.5],3433.845138888889
MAE[0.5],51.420985243055554
MASE[0.5],1.5009875231715075
MAPE[0.5],7.577839491102431
sMAPE[0.5],1.3688671134307706
MSIS,4.144004314730245
RMSE[mean],58.59901994819443
NRMSE[mean],2.251243800773086
ND[0.5],1.9754796984730123
mean_weighted_sum_quantile_loss,1.3953331924132384
