metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_040\weather_BM_length50_040_long_gp_rbf.csv
clean_data,data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],286.3618728298611
MSE[0.5],286.3618728298611
MAE[0.5],12.309600423177084
MASE[0.5],0.38311680554010297
MAPE[0.5],0.027866280343797473
sMAPE[0.5],0.02801725618649717
MSIS,2.5721362103967778
RMSE[mean],16.92223013759892
NRMSE[mean],0.039009015544916446
ND[0.5],0.02837601133863069
mean_weighted_sum_quantile_loss,0.022606232407904537
