metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_040\ETTh1_BM_length50_040_long_saits.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],11.053914930555555
MSE[0.5],11.053914930555555
MAE[0.5],2.6202101417824073
MASE[0.5],1.0954223532008183
MAPE[0.5],0.40039053373247663
sMAPE[0.5],0.33159019803869155
MSIS,7.434520104802707
RMSE[mean],3.324742836755281
NRMSE[mean],0.3022421139389354
ND[0.5],0.2381952202322598
mean_weighted_sum_quantile_loss,0.18724206686179853
