metric,value
model,visiontspp
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_040\exchange_rate_BM_length50_040_long_forward.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.03506456163194444
MSE[0.5],0.03506456163194444
MAE[0.5],0.16475090258049244
MASE[0.5],58.879255437960914
MAPE[0.5],0.2423635771780303
sMAPE[0.5],0.23890681797224136
MSIS,264.99124462275546
RMSE[mean],0.1872553380599454
NRMSE[mean],0.27076059361272403
ND[0.5],0.2382204568536571
mean_weighted_sum_quantile_loss,0.17181065101629353
