metric,value
model,visiontspp
eval_data,data\datasets\Imputed_Ablation\ratio\BM\BM_040\azure2019_U_5T_BM_length50_040_long_linear.csv
clean_data,data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],1667.1159722222221
MSE[0.5],1667.1159722222221
MAE[0.5],35.201253255208336
MASE[0.5],1.035231507071669
MAPE[0.5],4.267570326063368
sMAPE[0.5],1.2392362511975663
MSIS,6.795154372208054
RMSE[mean],40.83033152231588
NRMSE[mean],1.5686103761528147
ND[0.5],1.35235372947006
mean_weighted_sum_quantile_loss,0.9889421853641287
