window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,14222,22414,8192,1,0.3841244578640878,3.376011427740855e-06,0.10131132013182476,0.04123766175205673,0.23187220403547112,9460.894091914071
1,13502,21694,8192,1,0.40195350096428273,3.785620183113035e-06,0.09291077331038622,0.04364582623212927,0.22653197595160096,9491.549691431654
2,12782,20974,8192,1,0.4039832989205042,6.127080466017764e-06,0.08866680214859335,0.052955607495376915,0.22137916316851888,9279.83934383947
3,12062,20254,8192,1,0.37215351101512584,7.781855074206653e-06,0.07391184810457951,0.06550160302969874,0.20333595822831685,9893.867191206366
4,11342,19534,8192,1,0.39545029662762177,5.704705339740526e-06,0.06869257657029071,0.07467572719663229,0.20478712793622522,9951.646716622283
5,10622,18814,8192,1,0.36878871059357865,-7.821469282120089e-08,0.11104899596110418,0.07381599704031303,0.20455664336873314,10327.730614627511
6,9902,18094,8192,1,0.3367409022865059,-3.7355319341310958e-06,0.12769499110065696,0.06729764074019705,0.19895138390392406,10520.152943147648
7,9182,17374,8192,1,0.30361171063367876,-3.8020259148816897e-06,0.09540930971610473,0.0670264192359202,0.2343602921933834,10844.956691770054
8,8462,16654,8192,1,0.3560049893826418,-2.2664593630079688e-06,0.1196036058296639,0.06243926763894927,0.21799144953899768,10855.057271135809
9,7742,15934,8192,1,0.3671669861466331,-5.810354275356408e-06,0.07809623459494519,0.06579036131727532,0.22912735090400602,10567.049969748054
10,7022,15214,8192,1,0.3720399554760495,-4.244128077172998e-06,0.05916719415243632,0.06873878961878653,0.21969624750793765,10422.664671441784
11,6302,14494,8192,1,0.375467320593061,-2.7852422551480513e-06,0.08567150512685762,0.06333130159197096,0.2123415939556391,10378.792911321692
12,5582,13774,8192,1,0.3668536527155688,-3.821778838532171e-07,0.1296527183955617,0.06570335312242642,0.19545516702175336,10755.903705047782
13,4862,13054,8192,1,0.34627012717535777,1.0125174528508192e-06,0.17068728517272547,0.052772508285661254,0.2180187275672307,10820.921686347496
14,4142,12334,8192,1,0.3791135285413737,7.527850248915838e-07,0.1666871044961935,0.056214013837990066,0.2294034757950084,10090.311235339677
15,3422,11614,8192,1,0.36619941893490104,-2.0049975256902174e-08,0.19755694569439164,0.04789979870967504,0.2062591073541625,10499.610398925146
16,2702,10894,8192,1,0.3609224678849725,-3.0911406783503022e-06,0.20037993752503924,0.04905195464592963,0.21157619828319565,10248.736216782621
17,1982,10174,8192,1,0.36214009124786617,-6.152561826518353e-06,0.09266902057433068,0.05802419062743659,0.20313118631400992,9959.878360871193
18,1262,9454,8192,1,0.4644647151127814,-3.3760051963627454e-06,0.08130742741578845,0.07057109930595011,0.22692415376669592,9303.305009478394
19,542,8734,8192,1,0.45580702319002986,4.229023183884451e-06,0.12238760049560049,0.0868612077755203,0.2578173153397838,8384.04196089237
