window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,61008,69200,8192,1,0.20185302647829517,0.00029137871766575025,0.17928156223994562,0.5824317762907676,0.9447193748372863,25614.520671745453
1,60528,68720,8192,1,0.15538689868968858,0.00027824086407418576,0.15620029652532363,0.6160990117710277,0.9661107128634117,25491.493703684508
2,60048,68240,8192,1,0.2975689109452594,0.0003509030993882788,0.4374701190590863,0.38970881540900154,0.9834789094620483,25631.847214123893
3,59568,67760,8192,1,0.29189353733413925,0.0003845487231227012,0.4583722712096615,0.30300136864698374,0.9863416259196021,25769.00090576111
4,59088,67280,8192,1,0.41257352746283715,0.0004761346362761754,0.4940102270787894,0.48612821555840124,0.9733472009221276,26015.025375272693
5,58608,66800,8192,1,0.46161610393055175,0.0007114400838797278,0.4781717567100009,0.4727378579862755,0.9649671334080863,25970.68277553945
6,58128,66320,8192,1,0.4694956143186749,0.0007284573643727931,0.5020126185229219,0.5320716594880879,0.9856050361276261,25891.727937389118
7,57648,65840,8192,1,0.5708324093690769,0.000978955419906597,0.47545976314490435,0.522220094553797,0.9662174861793167,26210.509058661803
8,57168,65360,8192,1,0.5272970520596962,0.0009135833163029662,0.40033639427799095,0.5904121555546051,0.9823443922316972,25590.027720802223
9,56688,64880,8192,1,0.545573018768296,0.0008581731073079843,0.4580079110760963,0.5654067819876883,0.987400658766629,25521.63684826184
10,56208,64400,8192,1,0.5772771741110576,0.0009744068845400812,0.4148027050395373,0.526824793514218,0.988654889592034,25360.168504985202
11,55728,63920,8192,1,0.39288104628304077,0.000759639375182193,0.2998704123381869,0.5478835107849783,0.9730078463760508,25157.807271848396
12,55248,63440,8192,1,0.4710716947248318,0.0008581113226984349,0.255087291270755,0.6064614237788751,0.9665732439059422,25588.989284793213
13,54768,62960,8192,1,0.6089996623124311,0.0007547752079076671,0.48828277196104863,0.4295456743705753,0.9701605317854501,24852.550045689666
14,54288,62480,8192,1,0.6093657747146424,0.0007902865590454016,0.5211781098822288,0.16611860274936485,0.9560095574670954,24862.64444327711
15,53808,62000,8192,1,0.625872096145144,0.0007980314461725218,0.5499288984200716,0.18737285809904206,0.9751780058762031,24926.26163602699
16,53328,61520,8192,1,0.6017346909332564,0.0006512167008382513,0.4695345649784689,0.2679597439319337,0.960010164462102,25362.1300564454
17,52848,61040,8192,1,0.5607548069200685,0.0007807675634525754,0.38272154879293585,0.5084369987540385,0.9723876345963921,25200.39470741542
18,52368,60560,8192,1,0.3734119744963599,0.0006762796106592994,0.313323056265689,0.6355530419590558,0.9761385474873132,25199.871282349042
19,51888,60080,8192,1,0.3170193502391355,0.00033345086403073715,0.34503991048131954,0.6232995400679228,0.9771100809590811,24879.451863077193
