window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,10073,18265,8192,1,0.8159576538447267,-0.00035098962038359086,0.27443843445431093,0.6443826295315243,0.9425481112015621,28908.453608571457
1,9353,17545,8192,1,0.8350694328473309,-0.0008623369698456486,0.29940521632543715,0.6602556970015583,0.9402273407598858,29331.27125726889
2,8633,16825,8192,1,0.8615581352743019,-0.0012321924167222583,0.3048349231692482,0.6626966421361797,0.9401661132079048,29770.585839092222
3,7913,16105,8192,1,0.9058069076291174,-0.0019924834557819575,0.3671720889657586,0.6977983159874542,0.9421114701768013,28519.361252780345
4,7193,15385,8192,1,0.9449760878271858,-0.002568875202110734,0.43317317394645083,0.6966311546345905,0.9366736975078687,27885.81298494824
5,6473,14665,8192,1,0.953581742033563,-0.0027038419451490413,0.42981271593227244,0.7188745124061983,0.9451148744067215,28672.979140406613
6,5753,13945,8192,1,0.9673331936933092,-0.003065435204245692,0.45526404326516035,0.7055436501780801,0.9416099590102232,27885.538914362907
7,5033,13225,8192,1,0.9709291476140257,-0.0030277164647719568,0.4722719406888539,0.7238552379926827,0.940454209475549,28231.358460637937
8,4313,12505,8192,1,0.9693430480393016,-0.0029932040103788807,0.4738072483615682,0.745215302229573,0.9408396901969083,28139.545650350454
9,3593,11785,8192,1,0.9695921070110397,-0.0030169083747665897,0.4610251276990558,0.7057331286984925,0.9392450764640209,29032.770163147543
10,2873,11065,8192,1,0.9700685494240768,-0.0028548828383584963,0.4730720116316157,0.7335981564219713,0.9362127998028429,28477.589753324355
11,2153,10345,8192,1,0.969777235044245,-0.002879041219931631,0.4651728462951559,0.7658459423432847,0.9375582032589562,27528.864623243862
12,1433,9625,8192,1,0.9683988474513812,-0.0027286229432866515,0.44181517999986364,0.7275184257640521,0.9419516207326694,27699.3010897415
13,713,8905,8192,1,0.9679874646655862,-0.0026077682959529686,0.4450327532538715,0.7292426945878611,0.9415206779438764,26601.809162314657
14,0,8185,8185,1,0.9708338286039002,-0.002419177402748666,0.4360391815235156,0.7261661555750032,0.9433581361710829,26082.400926109054
15,0,7465,7465,1,0.9654160651918151,-0.0024245663858235757,0.4113781967982376,0.7244969062734281,0.9379333050737577,23075.808847237444
