window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,17574,25766,8192,1,0.22764365359314176,-1.4215256943927913e-05,0.9105546753364255,0.1009956191891136,0.9585781126291261,1552.760216552982
1,16854,25046,8192,1,0.19368917748507486,-9.233523802380056e-06,0.9006814431234942,0.0736590359077692,0.952717274113617,1560.1051457742392
2,16134,24326,8192,1,0.16930784369371155,-8.216527970208774e-06,0.8959398269992753,0.07168411320790645,0.9421322660891296,1202.6708132274096
3,15414,23606,8192,1,0.1452165220084083,1.163928352578939e-05,0.8502275160438186,0.07927001938814025,0.9670996864099665,1778.3202145870926
4,14694,22886,8192,1,0.17650275100691515,1.7519842268366712e-05,0.8841048746871426,0.09158844958838007,0.9630930749763298,1814.1965731687037
5,13974,22166,8192,1,0.15270945567796135,1.5371089107592987e-05,0.8635850176491776,0.0962585733494094,0.9678490119837023,1892.9457345359958
6,13254,21446,8192,1,0.1577746307748611,2.2890508105188403e-05,0.8646998239661212,0.09274003970305826,0.9734617678172411,1931.7258127284301
7,12534,20726,8192,1,0.16586738728928707,1.7411089316685317e-05,0.87013994312529,0.09312525764047094,0.9749297377104149,1861.4933938739493
8,11814,20006,8192,1,0.0914985275309923,1.1629030729409828e-05,0.8291331160637532,0.11776718212414518,0.9740817002713289,2051.452641382625
9,11094,19286,8192,1,0.14656216465408778,-2.3303381023573014e-07,0.8612252096271389,0.1288311623241098,0.9616691269704941,2033.0822151611385
10,10374,18566,8192,1,0.11120766041772445,-7.078290278124079e-06,0.8426128519616741,0.1368838573765222,0.9614876217662413,2123.2057567431652
11,9654,17846,8192,1,0.14400378563522886,-1.2606255140203318e-05,0.8599694977496481,0.14266328212347396,0.954669739263502,2135.693977241481
12,8934,17126,8192,1,0.12994333703382654,-1.1764376102080919e-05,0.8542714403998857,0.12887264047598584,0.9640606014897816,2290.0187270051206
13,8214,16406,8192,1,0.17399515387536824,-1.0459340092003603e-05,0.8647019358808378,0.11794804068665941,0.9498482705881556,2244.6523767466992
14,7494,15686,8192,1,0.17070101026904594,-7.84586123872363e-06,0.8705684056522357,0.09453437638486058,0.9471658759857984,2125.880308437144
15,6774,14966,8192,1,0.20319392033741357,-1.1046837625377583e-05,0.900713473681174,0.12588262462234565,0.9544143173194819,1927.5734514189692
16,6054,14246,8192,1,0.15025491579771533,-1.1188360331100924e-05,0.9030183136041595,0.12619109916131413,0.9434707557153283,1766.417444620547
17,5334,13526,8192,1,0.11134966286714199,-8.231683908878028e-06,0.8769725628053823,0.1376209054679341,0.9686656601038494,1933.3799979222722
18,4614,12806,8192,1,0.18533377220296499,1.0188611866985704e-05,0.895019898467075,0.10446963498918539,0.9642995122792756,1967.33543958273
19,3894,12086,8192,1,0.1653995149882378,1.5218845395338497e-05,0.8882675916159227,0.11277655456364424,0.9686859239564981,1999.7835081963785
