window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,17574,25766,8192,1,0.047634837158315624,-3.886833916573647e-06,0.7430298249582403,0.16204619554954938,0.9597954143658182,9743.493272403786
1,16854,25046,8192,1,0.07176490782375744,7.138842263569142e-06,0.7293359548453673,0.13607500220165217,0.9561317756115206,9967.956714171754
2,16134,24326,8192,1,0.0941387001093913,-2.9557812195301095e-06,0.7617788795095721,0.10147554823113969,0.9569928356371895,9462.12401887658
3,15414,23606,8192,1,0.14637385586324347,1.0989706019371602e-05,0.7725088133012914,0.10365552241353256,0.9502021433152187,9707.239765956085
4,14694,22886,8192,1,0.1574343345673911,1.0965623120550739e-05,0.7678013921616607,0.10156746251316756,0.9367875060982322,9946.531292976364
5,13974,22166,8192,1,0.14012016757382306,1.700111393419209e-05,0.7383198978712934,0.12433694984470149,0.9563836938577399,10160.664318173767
6,13254,21446,8192,1,0.1437870129840787,1.6962953519275718e-05,0.7394202589137875,0.10881320007042979,0.9497689306936216,10162.808501409687
7,12534,20726,8192,1,0.16625791192132489,2.4355649591837687e-05,0.7484215094723914,0.0785777664288518,0.937601719278527,10543.681173815949
8,11814,20006,8192,1,0.14838782749033763,6.26576052035078e-06,0.7512430661890245,0.08259503711450189,0.9441415863323344,10569.633390399003
9,11094,19286,8192,1,0.1699621001580991,2.117574422840031e-06,0.751975703257213,0.09829004150152724,0.9366152406246576,10576.87023900182
10,10374,18566,8192,1,0.131972585854779,-1.2014813903218046e-06,0.7351228834435051,0.12736510734538217,0.9394285371831964,10891.898946844243
11,9654,17846,8192,1,0.12160975776004745,-9.314860728474178e-06,0.733570050401351,0.11253002694360538,0.9395101494846279,10752.743848705744
12,8934,17126,8192,1,0.11796279231927798,-1.0898358036205604e-05,0.7260408086312036,0.10821672918326948,0.93818072197508,10624.864719493758
13,8214,16406,8192,1,0.10525567179576012,-9.456787709439425e-06,0.7202251437558557,0.06527915751922866,0.9460138548055735,10920.225911168749
14,7494,15686,8192,1,0.1681660026946753,-3.743274205835996e-06,0.7701005711369479,0.09630698412402482,0.9409487840717662,10549.250668327306
15,6774,14966,8192,1,0.12018629505842959,-1.1960349720463875e-05,0.75428527052711,0.12549297555300776,0.9473321771132979,10175.979558863804
16,6054,14246,8192,1,0.03498249368394446,-1.088976382099247e-05,0.7278238463586956,0.14211294889429618,0.9456695007984969,10390.184529187865
17,5334,13526,8192,1,0.08479907604578718,-6.5577211793276524e-06,0.7425256667954893,0.1446095761092516,0.9553786980478464,10328.60603421654
18,4614,12806,8192,1,0.057428096028673936,3.1986911038813585e-06,0.7314582558592359,0.11733036224786565,0.959757025565147,10165.977250240847
19,3894,12086,8192,1,0.09120795386716274,1.0599322746555707e-05,0.7563938633801199,0.11255798370985444,0.9570877483425221,9819.545211994167
