window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,0,7558,7558,1,0.9974897107186408,3.4515873356514865e-05,0.0,0.0028027748932305968,0.6490750454031509,-8505.994474497526
1,0,7528,7528,1,0.9974887860475063,3.474747973332168e-05,0.0,0.002939600015555358,0.6492822944383179,-8428.669641397251
2,0,7498,7498,1,0.9974922592991028,3.49112651977777e-05,0.0,0.0031243942614968163,0.6489322857362093,-8364.16678813033
3,0,7468,7468,1,0.9974913474567892,3.509610956770739e-05,0.0,0.0029536532064494167,0.6491387710805568,-8396.22189479939
4,0,7438,7438,1,0.9974859148119405,3.529577051303732e-05,0.0,0.0031638546056594057,0.6482235519924605,-8349.77495389419
5,0,7408,7408,1,0.9974914860194406,3.5484969470020004e-05,0.0,0.0030412602017581823,0.6481657910308923,-8374.331587685012
6,0,7378,7378,1,0.997509925771616,3.575151863458736e-05,0.0,0.003252970332366508,0.6483345670882579,-8474.992514139332
7,0,7348,7348,1,0.9975150942999493,3.610275503736675e-05,0.0,0.0037012910929439566,0.647431164888089,-8394.813797520717
8,0,7318,7318,1,0.9975199886607414,3.642002309348167e-05,0.0,0.0036841813877992765,0.6470658288381452,-8440.712163240207
9,0,7288,7288,1,0.9975056453337499,3.6785194340320564e-05,0.0,0.00359054106512639,0.6476969954496331,-8448.64960347082
10,0,7258,7258,1,0.9974620439951931,3.719622703891169e-05,0.0,0.003588013461934481,0.6527499749668316,-8410.243047344144
11,0,7228,7228,1,0.9974746835652472,3.766955916351588e-05,0.0,0.0038353343300680837,0.6532666153605122,-8447.131030575541
12,0,7198,7198,1,0.9974817050300171,3.808983950928639e-05,0.0,0.0039018203960368624,0.6526727694152299,-8424.656319379623
13,0,7168,7168,1,0.9974746764288697,3.856918282972068e-05,0.0,0.0034178311745578873,0.651371276320311,-8302.21678492385
14,0,7138,7138,1,0.997472073931229,3.8971129023858746e-05,0.0,0.0034935040876495514,0.6536876580243164,-8313.086552802359
15,0,7108,7108,1,0.9974879885601113,3.953398949000303e-05,0.0,0.0036368946461335407,0.653777417495481,-8338.149068986388
16,0,7078,7078,1,0.9975093172419118,4.004979470573639e-05,0.0,0.0031455636939996877,0.6526801201155755,-8235.56647507055
17,0,7048,7048,1,0.9975213484316945,4.0528025150300654e-05,0.0,0.0031732051135079696,0.6527542719628332,-8221.036187993606
18,0,7018,7018,1,0.997557775798056,4.093237489369357e-05,0.0,0.003000278348515641,0.6489489528131986,-7966.978704065994
19,0,6988,6988,1,0.997570270540965,4.119316724503481e-05,0.0,0.0034717543703129765,0.6487920729387093,-7847.0115358263165
