window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,0,7138,7138,1,0.9979359953234425,3.837956568697507e-05,0.0,0.0017804551780047145,0.65752932158545,-9514.67682362829
1,0,6688,6688,1,0.9980328183777238,4.0947695679733776e-05,0.0,0.001039916334240851,0.6536850281787807,-7118.216733726096
2,0,6238,6238,1,0.9975656881969731,3.648255145751667e-05,0.0,0.0015356867031646687,0.6611770258772135,-6948.81645919505
3,0,5788,5788,1,0.9971288848271436,3.0477931131948522e-05,0.0,0.0022304768322727983,0.653858461558544,-7660.462998385851
4,0,5338,5338,1,0.9967760530681891,2.2672783440492665e-05,0.0,0.0036200663953938183,0.6619919673859934,-7527.9769410210865
5,0,4888,4888,1,0.9970532391820396,1.9942728497294942e-05,0.0,0.005509448962227789,0.6576876536429839,-7590.500683604681
6,0,4438,4438,1,0.9976856308542401,1.0892010572310026e-05,0.0,0.009568689087328238,0.6050368692662985,-7141.575821358868
7,0,3988,3988,1,0.997866737971849,3.975020394726432e-07,0.0,0.005863210123778018,0.6055954486070653,-6842.85156626738
8,0,3538,3538,1,0.9977776527920198,-2.9063221793355806e-05,0.0,0.007534619035088518,0.6369917305389444,-6921.760843921947
9,0,3088,3088,1,0.9980278415821745,-4.882667509287082e-05,0.0,0.001926132882893711,0.6326755448589892,-6217.351921975672
10,0,2638,2638,1,0.9968213615503471,-1.677176178210409e-05,0.0,0.017109309645031368,0.6307282927667187,-4384.740237021502
