window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,8872,17064,8192,1,0.2730950067843193,-7.880508887979423e-08,0.9448429665038911,0.9754782387190352,0.6295929441773301,-13173.774686157149
1,8392,16584,8192,1,0.30446113742937486,9.370566383438103e-08,0.939845016600669,0.9715564766935064,0.6506038735058731,-12987.011629486104
2,7912,16104,8192,1,0.31374085554507236,2.2460808226137518e-07,0.9369552879039339,0.9678431159321204,0.653520828258498,-12957.562964023924
3,7432,15624,8192,1,0.3244151665470797,3.560555023826243e-07,0.9342284080719409,0.9660673151086437,0.6549313900040739,-12773.502357360432
4,6952,15144,8192,1,0.3347057584699229,4.775847917054484e-07,0.9324008528382399,0.9660614935084136,0.6594696057339586,-12860.940884376405
5,6472,14664,8192,1,0.3531905224496573,5.938898786761775e-07,0.9316135931411449,0.9650170416139766,0.6532332350870154,-12637.381993173145
6,5992,14184,8192,1,0.37667081623376697,6.953468739823879e-07,0.9319561131086666,0.9640308683697716,0.6464290979142272,-12656.81782731825
7,5512,13704,8192,1,0.40438166550016486,8.289417131556157e-07,0.931846410594948,0.9624314041114741,0.6483469154793257,-12418.043002649214
8,5032,13224,8192,1,0.4012858154116279,8.559232099168503e-07,0.9297798339906994,0.9606869888700401,0.6524091563116391,-12412.364657029535
9,4552,12744,8192,1,0.38053627229627285,7.468881610359081e-07,0.928813636297654,0.9605924078400916,0.6550450844791265,-12520.804184044064
10,4072,12264,8192,1,0.38866825167095875,7.345019709550991e-07,0.9311618047715841,0.9615516218593856,0.6489237957030253,-12628.177174221126
11,3592,11784,8192,1,0.36783945906081894,5.69029949696237e-07,0.9306619884756577,0.9621366828738606,0.6516682078267603,-12662.295374123372
12,3112,11304,8192,1,0.35443302932780807,4.373701747978189e-07,0.9334971128785918,0.9614773618793612,0.6938010368146934,-13652.81069291746
13,2632,10824,8192,1,0.3463769246391264,2.691699545287645e-07,0.9349918131123903,0.961521703279739,0.6864258024955043,-13649.390975519229
14,2152,10344,8192,1,0.3314719810694282,1.3638235849378647e-07,0.9346301308187853,0.9592526921715828,0.6941587546335121,-13122.834212199741
15,1672,9864,8192,1,0.3146703172441804,1.006600009133251e-07,0.9307165254804143,0.9620522864592498,0.6490223512790485,-13054.116545491263
16,1192,9384,8192,1,0.2874767393324239,1.157538513474821e-07,0.9221005155475677,0.9635980854658106,0.6863664791518703,-12633.293056656332
17,712,8904,8192,1,0.27974994343510906,1.0161841532615434e-07,0.9210850831472555,0.9640551376112277,0.6872447589299744,-12653.898737000898
18,232,8424,8192,1,0.2653413246064191,1.8233082662634018e-07,0.9175615414025338,0.9664592086703918,0.6945332948361129,-12598.036150093332
19,0,7944,7944,1,0.2739940846049391,1.916520176875475e-07,0.9172788681770898,0.9666922199457558,0.6917332548338584,-12672.410971291281
