window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,43784,51976,8192,1,0.6255409878480362,0.00035017823266292656,0.15701084193043469,0.6136299936236146,0.9459325644447603,42100.07785312091
1,43064,51256,8192,1,0.6350992230161602,0.002012190541470254,0.17069344937387088,0.5786986068769915,0.9434320236500134,42209.844164133494
2,42344,50536,8192,1,0.6306831475624974,0.0027626318216693816,0.18443153043716864,0.6095832358096791,0.9461261352513589,42267.76756370122
3,41624,49816,8192,1,0.6543196775434492,0.0030875909572514538,0.1841640680277108,0.6442580294693242,0.9445159548489566,42350.89819303431
4,40904,49096,8192,1,0.6661088971325346,0.0030409277117646872,0.2841864148611897,0.6826978210502619,0.9454563400448166,42363.65462683299
5,40184,48376,8192,1,0.6670452232667491,0.0030960597294808568,0.28516063565545713,0.7030906352633443,0.9384409891281921,41922.64145972667
6,39464,47656,8192,1,0.6116905573155317,0.002447754199045606,0.3674203493186172,0.7192217605695762,0.9389818263379267,41899.300029866085
7,38744,46936,8192,1,0.5997318103058242,0.001977818927408764,0.41193990096872435,0.7129065384789594,0.9401487729695415,42130.99025993091
8,38024,46216,8192,1,0.6036473964980229,0.002170444606630762,0.45126289181138013,0.7108977160231875,0.9331562550535107,42610.58189290522
9,37304,45496,8192,1,0.5531500867920415,0.001683254533668267,0.4518464870298131,0.6830587688933065,0.9309116519731458,43032.125448449275
10,36584,44776,8192,1,0.36285942783062575,-0.0008262333250198298,0.5733855846588785,0.7530951438430724,0.9344701487014845,42089.69470409288
11,35864,44056,8192,1,0.29151808674042334,-0.001259375648164063,0.6071487183343914,0.7784566689648921,0.9356104396076927,42337.427085148
12,35144,43336,8192,1,0.24444730086412736,-0.0006956467455394075,0.5854335962746389,0.8106675923747498,0.9338278640584837,42759.219351514024
13,34424,42616,8192,1,0.2830199568113909,-0.00023399491529044308,0.5851160993635922,0.787408349575366,0.9368569499186546,42758.72198495083
14,33704,41896,8192,1,0.28836960860222494,0.0004554928595458632,0.5818631506523986,0.7989558220204371,0.93801618078997,43408.6153487382
15,32984,41176,8192,1,0.33108020669783567,6.951381603596968e-05,0.6467736043142546,0.8342454242445632,0.9313289280739321,43943.11322978986
16,32264,40456,8192,1,0.3407445195314801,-0.0005670203438911813,0.6615937887827452,0.8532470759118082,0.9326457222402411,44343.889399356194
17,31544,39736,8192,1,0.00025516700726535557,-0.00034331212223908167,0.004363255210699357,0.8557041561875047,0.9381863309915132,75806.70843418813
18,30824,39016,8192,1,0.019578112027192396,0.0028001968925323788,0.010822264271946325,0.7561939688037503,0.9359048465548974,75805.40870748207
19,30104,38296,8192,1,0.0231058101743018,0.00826009462845256,0.006095322577000184,0.7611405431229624,0.9352277686161458,75796.4480170498
