window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,32368,34416,2048,1,0.004474155953390069,0.0029283540641428666,0.8215587827852435,0.9371776617310227,0.8368252278062878,13282.297071914843
1,31648,33696,2048,1,0.027242788881715385,-0.011475510314801356,0.7371576084173403,0.9238493664335029,0.8568211292108135,13405.83157130358
2,30928,32976,2048,1,0.0861639961055155,0.005411699858541429,0.6906990435453986,0.9155707232788088,0.863354003847724,13422.59217529474
3,30208,32256,2048,1,0.06496344155876088,-0.004948306339220756,0.7815935836045791,0.9184503049508272,0.827903870491298,13291.062336989477
4,29488,31536,2048,1,0.06352266689438935,-0.017335641533992648,0.7578817884063824,0.9246438654381166,0.8650599783318056,13236.308178371866
5,28768,30816,2048,1,0.025073749740208817,-0.0029974918768444184,0.7780868406803235,0.966748468305234,0.8584579088227996,13408.198218124893
6,28048,30096,2048,1,0.07072016419925564,-0.00775272367542755,0.8481409705177906,0.9483989070916794,0.8269754638261106,13385.272856340685
7,27328,29376,2048,1,0.030843014117533762,-0.0054501484384013674,0.8429122690048587,0.9481686576605929,0.7959464994638342,13638.936880505196
8,26608,28656,2048,1,0.03227501590438131,0.002814603301490514,0.7836844005998462,0.961331705367766,0.8827672674453917,13380.639029985974
9,25888,27936,2048,1,0.03600837706229243,-0.005054393250785889,0.7781460955677444,0.923817598799913,0.7733048929584432,13559.205271417846
10,25168,27216,2048,1,0.07954261993993927,-0.018646704475471412,0.7390210593669071,0.9476953007291705,0.8293033535585849,13456.526316413856
11,24448,26496,2048,1,0.10100159667520037,-0.006663356220850833,0.7480541904435342,0.9651298907597433,0.857627081559558,13755.995057523472
12,23728,25776,2048,1,0.08951645527953445,-0.004709693719557643,0.7186493116425736,0.9483722017939041,0.858389329815242,13643.680799953165
13,23008,25056,2048,1,0.0648972276671409,0.003963032567802382,0.6932660296144263,0.9286605033914263,0.872827222633022,13715.46446563848
14,22288,24336,2048,1,0.02975118182191916,-0.011231867222608822,0.6568097142099601,0.9424277328436835,0.8882157858656528,13532.782253409545
15,21568,23616,2048,1,0.03276541910613895,-0.008028787827629858,0.6710028504244233,0.9238844740542073,0.8841168943341218,13739.180441773191
16,20848,22896,2048,1,0.07412786560444651,0.016869298792699335,0.7062709411234576,0.9523103612270267,0.8729265577490511,13610.510881256254
17,20128,22176,2048,1,0.07645114040909695,-0.006981795835341635,0.7901921252240274,0.9486521158202588,0.8485750677683387,13794.635014237607
18,19408,21456,2048,1,0.0966444742617566,-0.021156210593451217,0.7910570190540538,0.9664756130634194,0.8819924431394701,13612.637805798102
19,18688,20736,2048,1,0.032706821403241104,0.0021680242322865526,0.7819681394694449,0.9588097714482761,0.8694576399093198,13669.821026438836
