window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,40720,42768,2048,1,0.2233931184549095,0.3224870782842352,0.7498938395866468,0.9646180217534711,0.9644214945856951,16439.43463802192
1,40000,42048,2048,1,0.14178004395872346,0.05814114352275913,0.6338017194274457,0.9011549585100423,0.9377441072963301,17288.228833520025
2,39280,41328,2048,1,0.05101071010210856,-0.09980769833069683,0.4797088193464186,0.8118664424702673,0.8029423848523759,17217.249525558524
3,38560,40608,2048,1,0.14938798663334862,-0.10114292916387657,0.7779493727184541,0.9642733327577194,0.9556077844934777,16418.595081353254
4,37840,39888,2048,1,0.2942573869007834,-0.19254628205312327,0.8079382482165105,0.9351467303773463,0.9395560536979477,16374.96777623751
5,37120,39168,2048,1,0.3972667633248289,0.3036267481944619,0.8871112612946986,0.9721682105131322,0.9251672834589576,16093.481411828361
6,36400,38448,2048,1,0.227021872580351,0.2204477518845798,0.8586476867635348,0.9179781721505216,0.9095282780528748,16348.730708103674
7,35680,37728,2048,1,0.1869917674669661,0.12263980850526267,0.8400006458880205,0.9535968687158523,0.9304893423880638,15818.512950500892
8,34960,37008,2048,1,0.4076014476182963,0.34762913042761306,0.8686232161485798,0.9449221655512081,0.9257843499626913,15967.364877068725
9,34240,36288,2048,1,0.39093030100707193,-0.1305033149406883,0.8484100895598978,0.9763223455732428,0.9511035116676687,16772.336646981035
10,33520,35568,2048,1,0.29291150825342094,-0.27225601225384727,0.846420378317412,0.9805843163814496,0.9596078714600942,16660.405325403866
11,32800,34848,2048,1,0.2164854467413163,0.23286443174514979,0.8490285347139432,0.9759540891899297,0.9147158387701873,16620.441304508597
12,32080,34128,2048,1,0.1400469189629877,-0.19033071381897723,0.7400186938113629,0.8759406180783015,0.9459269288725282,16843.14142875562
13,31360,33408,2048,1,0.07397451892710794,-0.114447274419733,0.6104646570861765,0.9284087254911242,0.9108955915706252,17321.475696188012
14,30640,32688,2048,1,0.16345618724082311,0.4256856540847785,0.6131242934233403,0.8463435397822943,0.8985864829690987,17352.426320926286
15,29920,31968,2048,1,0.2209626158102994,-0.12998446975874,0.8102836320772425,0.9781062851267192,0.9762338839938428,16584.514018598842
16,29200,31248,2048,1,0.21420791149265783,-0.23758597670522733,0.7447689627284176,0.945809550880631,0.952258964473193,16199.804671381033
17,28480,30528,2048,1,0.09234900942773405,-0.06838840842153417,0.8377307885394876,0.9597998183799368,0.9034970449213034,16361.432196993232
18,27760,29808,2048,1,0.10590169288501916,-0.1676287217372129,0.8299980130604137,0.9525173864141353,0.9429988780389684,16156.61174305652
19,27040,29088,2048,1,0.08856518391376722,0.2058446701095539,0.8920310107284152,0.972005951129298,0.9406689626149802,16199.206179963565
