window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,13991,16039,2048,1,0.460345143822548,-0.003924949178648162,0.6747886650570223,0.8457681106434062,0.7708345041293908,9518.846444551622
1,13271,15319,2048,1,0.5720871399475859,0.0006793219142069028,0.6534124776085437,0.7866464929286072,0.7257766048654469,9538.356591229225
2,12551,14599,2048,1,0.707651178730414,0.009597519827619081,0.712120805802277,0.8034626390865499,0.7674997245909019,9799.57186248107
3,11831,13879,2048,1,0.6571329177255932,0.008810730271223522,0.6766910520058901,0.8036218774971936,0.7292791226077046,10023.26688450433
4,11111,13159,2048,1,0.5247422785467728,-0.0026036570164665244,0.6215703530913423,0.7934205748507583,0.739619383324795,10068.073756404001
5,10391,12439,2048,1,0.6253406174938387,-0.007509021077024741,0.5099041039209349,0.7404235694661891,0.7104503127024516,9943.606764892207
6,9671,11719,2048,1,0.4638303106307382,-0.0031690699800326497,0.49132912889783076,0.7378611439275078,0.7471482021520132,9550.00726485316
7,8951,10999,2048,1,0.6556148111701388,0.0028406125598314197,0.5766078260500194,0.7676851306998513,0.6976734148816359,9355.857345943356
8,8231,10279,2048,1,0.6097790437315108,-0.00011385286362612051,0.7053329597785112,0.8592928040687655,0.7321241942375913,9328.209412421427
9,7511,9559,2048,1,0.5853101638754832,-0.002206893128778622,0.6220721325642073,0.7594669090249242,0.7554640628188565,9454.689110819658
10,6791,8839,2048,1,0.42351351947614546,0.0019510462595729138,0.552363077769532,0.6982581348453434,0.7645884744722727,9702.287667746552
11,6071,8119,2048,1,0.3251724301311266,-0.0012283105348183387,0.5334390495246528,0.6497471685079361,0.7924037382626691,9545.408549708733
12,5351,7399,2048,1,0.3914532522891445,-0.0004001385878730579,0.5094397574506571,0.6994944858806754,0.754885784053038,9622.916244299027
13,4631,6679,2048,1,0.45197243199595727,0.0054274317071145465,0.46672570026150206,0.7015214870622836,0.7102606097403981,9850.68503282647
