window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,15324,17372,2048,1,0.8314826283388348,0.0018711196864200806,0.2666741759133019,0.6637342988165456,0.7512953100726326,6067.328257320203
1,15276,17324,2048,1,0.8453271846469292,0.0018453943549726702,0.29573596407094316,0.742587653694332,0.7571747060025201,6044.643140206302
2,15228,17276,2048,1,0.844543681284799,0.0017587859833214825,0.30542782773350596,0.7435177466374565,0.7727186597266683,5942.18901094707
3,15180,17228,2048,1,0.8471054260629579,0.0015983986802476412,0.30872033853479475,0.7339843006913649,0.7783597548667787,5940.511211590014
4,15132,17180,2048,1,0.8485153045633114,0.001423479001209584,0.3223812876652732,0.7406020001216898,0.7846274459141447,5959.701555143261
5,15084,17132,2048,1,0.8488982463501421,0.0014755806722487768,0.3112833005036515,0.7478839025910293,0.784055167272016,6070.12921360265
6,15036,17084,2048,1,0.8661816843349546,0.0017292387696167804,0.31136859349448753,0.7566195618503668,0.7834886360708915,6082.913128771745
7,14988,17036,2048,1,0.8698095408516933,0.0019029255145852314,0.29988062211544453,0.7439124794206835,0.7712152257109163,6127.9823556760275
8,14940,16988,2048,1,0.8626929160572906,0.002119413778563439,0.28400725484027756,0.7453591459914476,0.7442197516332832,6170.99420491275
9,14892,16940,2048,1,0.8658815664823103,0.0018522173446225366,0.27098893607341534,0.6829796654320678,0.790975066354564,6181.900582019999
10,14844,16892,2048,1,0.8621956092102663,0.0017852954471450975,0.2618702049624496,0.7113239066163497,0.7919160322889454,6187.749701610492
11,14796,16844,2048,1,0.8659668613940567,0.0018095639478529198,0.2788386969793435,0.7193206725050376,0.7786179972398437,6244.285990438102
12,14748,16796,2048,1,0.877100042066282,0.002022576120117488,0.27747272403714474,0.7087501667956952,0.7807091688555139,6349.221809846402
13,14700,16748,2048,1,0.8904865513139922,0.0023066367898270596,0.2811044767745793,0.7257272402438741,0.78219031775912,6269.496920421334
14,14652,16700,2048,1,0.886768292073765,0.002393028108577015,0.2756729491491864,0.7371726075485129,0.7891452335063437,6302.384701285132
15,14604,16652,2048,1,0.893511453607291,0.002590679950374694,0.2885747091445411,0.7356529940523476,0.7816762010885937,6344.651893526723
16,14556,16604,2048,1,0.8911066969869775,0.0028398784759900847,0.26416285806880746,0.7515066617574251,0.7836855197378825,6335.088203777047
17,14508,16556,2048,1,0.8960242948446362,0.002938440554032773,0.27792612646812986,0.7266393307410444,0.7911778458189516,6270.898822161595
18,14460,16508,2048,1,0.8993292597478398,0.003153449797140739,0.2855635588978295,0.7422207829713195,0.7898890840280212,6312.270237818138
19,14412,16460,2048,1,0.899720157947818,0.003373295455900196,0.2772430093216658,0.6610053367169604,0.7892701881313983,6402.124160106092
