window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,14892,16940,2048,1,0.950513990858926,0.006868157932828822,0.0,-0.00348921395657525,-6.783786800937555e-05,7339.212295578685
1,14412,16460,2048,1,0.9706364671607633,0.009808381148109797,8.358348816184247e-06,-0.00594374999145616,-1.3992587557142834e-05,7326.434689243374
2,13932,15980,2048,1,0.9825200991960605,0.011382566470354188,0.0,0.0126807032903163,-0.0022271702336507104,7605.821650806258
3,13452,15500,2048,1,0.9772842635809252,0.010003801266647894,0.002513841276414519,0.0006428932683829616,0.1450348186203846,7216.553203041662
4,12972,15020,2048,1,0.9014065097993125,0.0034152740608169893,0.278354137203622,0.03417166798044244,0.5628614668654847,7039.900082435419
5,12492,14540,2048,1,0.7831580981985602,-0.0006015638705600514,0.5775545643108912,0.17868478718607342,0.6766513533761674,6981.8587076876065
6,12012,14060,2048,1,0.8158129989853875,-0.0050960803668406674,0.5889613713584794,0.36695866189224885,0.8191314833536252,7212.250236969172
7,11532,13580,2048,1,0.904355746573692,-0.00823236504304513,0.7514795649300501,0.7907905962147513,0.9156649050524732,6758.210138392938
8,11052,13100,2048,1,0.9070449802943623,-0.008718968786282429,0.7606523929758697,0.8839756952220148,0.9172481247093184,6381.866249681163
9,10572,12620,2048,1,0.9157681863496677,-0.00898601108149563,0.7539118181891465,0.9083164983266699,0.9086570914321351,7222.748423734114
10,10092,12140,2048,1,0.8764646776131578,-0.007983692862638522,0.6705018995055126,0.8824067136892603,0.9164018451980103,7309.709284183495
11,9612,11660,2048,1,0.8798132537291513,-0.00978517748444253,0.6177869275739929,0.8844647454253115,0.9259925856439765,7165.943707913962
12,9132,11180,2048,1,0.8845491085081735,-0.009657590133278245,0.6168258977713297,0.8763279924244871,0.925961748577774,6847.762464352316
13,8652,10700,2048,1,0.829876941673832,-0.003624512203247208,0.6464007200796984,0.8903122090749818,0.9089175619614742,6752.896223082586
14,8172,10220,2048,1,0.8232924761422322,0.003383847629232689,0.6337365602956484,0.8829631118504296,0.8970728532747924,6556.690963340827
15,7692,9740,2048,1,0.7843241115896943,0.005639368333559341,0.5343580659738116,0.8856392844700609,0.8320874765401735,7477.33047539209
16,7212,9260,2048,1,0.7708108189594982,0.006109785837487583,0.5909589587358858,0.9064940783907418,0.8253599948715704,7879.522474638077
17,6732,8780,2048,1,0.7870874976455852,0.005723206023246696,0.5883402106905044,0.909024164995478,0.8687910033135684,7865.17645967245
18,6252,8300,2048,1,0.8384490984673661,0.009777999416613123,0.5651914590243259,0.8620782767215509,0.8860308855560803,7998.153609887566
19,5772,7820,2048,1,0.8850764174354523,0.009569053750669016,0.705815202415598,0.902729261269039,0.8685481629492632,7719.392909553086
