window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,5090,7138,2048,1,0.992154597966096,1.7853050651643893e-05,0.04923095948333711,0.011420929966822388,0.5792928889163758,-3577.16471324174
1,4640,6688,2048,1,0.9933258282102406,0.00010546641152292783,0.014833923914918001,0.006121669854471622,0.610761656067399,-3179.0416368572005
2,4190,6238,2048,1,0.9910221871076934,7.733776090141923e-05,0.013587412428590517,0.01646434799028343,0.6393715475716496,-2627.2967485443633
3,3740,5788,2048,1,0.9889547106857762,4.310670403928102e-05,0.0,0.014128461448596766,0.6371130911456269,-3275.0132249288135
4,3290,5338,2048,1,0.9847586118020577,1.9433053760134828e-05,0.0,0.02225783990029969,0.6064018808002491,-3000.819455131702
5,2840,4888,2048,1,0.9958957485288312,0.0001298060123154637,0.0,0.019039587251905764,0.6015453181656237,-3241.414076427021
6,2390,4438,2048,1,0.9983329404620037,0.00016216189480834864,0.0,0.02783071371228994,0.5027928391737677,-2984.6094920087176
7,1940,3988,2048,1,0.9978496126403954,0.00011217163198523436,0.003973940511211582,0.01754525645103277,0.5202495022076613,-3514.4551893001044
8,1490,3538,2048,1,0.9979159995670043,-7.42405466753733e-05,0.0,0.014327291272847136,0.5575909247815679,-4103.814554852048
9,1040,3088,2048,1,0.9985605808800274,-0.00014815270162287718,0.0,0.005169331271081534,0.5713925527734725,-4090.1372358425324
10,590,2638,2048,1,0.9973332522464599,-3.652133265156144e-05,0.0,0.00325599202865183,0.5910218221038439,-3894.677315006886
