window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,19534,22414,2880,1,0.385999558544013,2.6748508552536984e-05,0.1233247003243797,0.10627034921087242,0.21670183534079493,1553.4912470781146
1,18814,21694,2880,1,0.4664319227366427,-3.1642022869262764e-05,0.03449834247401107,0.10803915935177695,0.1656606008615481,1299.7080184688807
2,18094,20974,2880,1,0.6401127271159033,-3.3952532331600766e-05,0.13657144995781156,0.134223257882987,0.21137809288734943,608.1068999560828
3,17374,20254,2880,1,0.5543411299711378,-2.6762192297572643e-05,0.12020992660837226,0.1347526663817514,0.12540219096797528,1286.930521346983
4,16654,19534,2880,1,0.43099622265918525,2.6648003009837245e-05,0.12665772300246247,0.16642500287363804,0.13255395599396982,1980.513670051771
5,15934,18814,2880,1,0.35586230560575827,2.276986591218841e-05,0.18662262569503096,0.2075508090884491,0.14150784918061052,2274.936548028904
6,15214,18094,2880,1,0.26995653323934954,2.2538412580576152e-05,0.24930068786209014,0.17463178255835032,0.1359318093798085,2554.955668205297
7,14494,17374,2880,1,0.19843620998070377,9.898580179299098e-06,0.24197110799936017,0.16894395881730778,0.08656004786130972,2301.097936231194
8,13774,16654,2880,1,0.22400016972997105,2.0223825953098412e-05,0.15265831462041435,0.15360019211458492,0.13560541585887967,1870.8630747877078
9,13054,15934,2880,1,0.21916579279623782,6.439608340707559e-06,0.12700328702922803,0.13611607326697284,0.10090370822978628,1758.039650389543
10,12334,15214,2880,1,0.15617862442580077,-2.167144791119188e-06,0.0257040115429098,0.13565007408764165,0.05862590203562638,2215.957740614397
11,11614,14494,2880,1,0.325618754217161,-2.3914017372778812e-05,0.052151985736833884,0.18005019866202676,0.12414181393143602,2021.4037422596296
12,10894,13774,2880,1,0.3575172206518953,-4.213550741150676e-05,0.01229188886190724,0.18607331654751844,0.06867946564977795,2277.2137645811963
13,10174,13054,2880,1,0.24503325758663808,-1.6833539080351694e-05,0.1131393630206946,0.16762606293646357,0.08914011752104967,2415.378639056312
14,9454,12334,2880,1,0.22187527700227994,9.281005164988047e-06,0.2015457360481544,0.17747910672799477,0.11755938611381317,2242.266985553654
15,8734,11614,2880,1,0.39351309851835625,4.107848743388954e-05,0.2961188539231038,0.11522834479265767,0.08154389977946494,2951.4759378008102
16,8014,10894,2880,1,0.37173439419210075,1.5005379783906795e-06,0.21379853102396806,0.1418032630069525,0.10315796978222051,2827.5112821120856
17,7294,10174,2880,1,0.35153539846727755,-1.1707305178822908e-05,0.1234270087735172,0.1289685762714701,0.13026428822742078,2629.9354343956247
18,6574,9454,2880,1,0.35129820399628975,-2.5929661560145412e-05,0.06956751209803747,0.1489617797628659,0.07106530385548374,2415.199421714947
19,5854,8734,2880,1,0.1775085866410009,5.825062762950158e-06,0.1265195846384588,0.1465785087968145,0.09466553422671337,1568.950491852259
