window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,19534,22414,2880,1,0.5385852370177342,2.4832415352594755e-05,0.2570500232634715,0.1438621320620763,0.288634314421796,1314.562913881502
1,18814,21694,2880,1,0.5998365225968527,-2.8190810626508406e-05,0.16634383348120751,0.11313978889333975,0.25514178792334097,1075.2105636413771
2,18094,20974,2880,1,0.5919442957029275,-2.9962969192286866e-05,0.10468607150774889,0.16913188499538243,0.3836627648854122,451.5471481389819
3,17374,20254,2880,1,0.4626363292468946,-2.6442545351535823e-05,0.0,0.15368302719094395,0.2527207113177889,1336.8131705670737
4,16654,19534,2880,1,0.34372273921109797,2.1154410766072284e-05,0.03775311648974011,0.1511452623436729,0.22189055980904446,2057.028730204973
5,15934,18814,2880,1,0.33988223067807066,1.7643784202082676e-05,0.17230440945304648,0.1620762285263776,0.21920660867946987,2394.35827458918
6,15214,18094,2880,1,0.33235853255021663,2.3224607562069448e-05,0.30043284422938776,0.19412465026298348,0.17395569979637035,2597.81993335513
7,14494,17374,2880,1,0.224201946927177,1.4697745459340216e-05,0.2127565928732691,0.18434646179334593,0.213103590350432,2340.4974215998877
8,13774,16654,2880,1,0.2188862806701235,1.6470952747394867e-05,0.10976487072133123,0.19435084961517807,0.25672931119317205,1882.3651293088267
9,13054,15934,2880,1,0.1922595196445568,6.3884030966440406e-06,0.0982850739355603,0.20295922769572547,0.2413494970556016,1550.9129680680048
10,12334,15214,2880,1,0.13704309846696905,-5.611481700005236e-06,0.0,0.1552952194993114,0.23266497770706784,2109.3822286153054
11,11614,14494,2880,1,0.31919667103811644,-3.109523937432204e-05,0.0,0.15721381504539686,0.24749252243924538,1946.4643131633916
12,10894,13774,2880,1,0.3272796881012183,-4.3429249178371364e-05,0.0,0.2776063823159083,0.21981157105228347,2098.807276295738
13,10174,13054,2880,1,0.20107992602612645,-5.430623741838533e-06,0.03043010466204088,0.214302598044065,0.25054912935459217,2309.0201520626883
14,9454,12334,2880,1,0.1953300533930008,1.7741792684468444e-05,0.218016884026201,0.1545389594534322,0.25096133739545323,2060.616089383134
15,8734,11614,2880,1,0.4248178487962636,4.253713117823438e-05,0.26434738247348444,0.09903967973824704,0.1760615150369604,2838.42893782025
16,8014,10894,2880,1,0.38536598081222495,-4.313531597698745e-06,0.17643282954491046,0.11999438679807199,0.2024370036851595,2666.3735643026275
17,7294,10174,2880,1,0.31727035506427415,-1.6937989476300873e-05,0.0335831884350537,0.1341939149586443,0.2517314709897128,2481.966153796613
18,6574,9454,2880,1,0.3708653187651597,-1.973500937453174e-05,0.04336741349227535,0.13750221809676622,0.21379546169796157,2241.2647939591475
19,5854,8734,2880,1,0.27183216352882356,1.4856674276765478e-05,0.10076815430452013,0.13558486137589612,0.16193293525143163,1419.547972236447
