window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,19534,22414,2880,1,0.43292020399602227,3.112372420344288e-05,0.10035158975705372,0.2207373945222146,0.26337573550543014,1267.9239491491944
1,18814,21694,2880,1,0.5859285040588298,-2.8626486422019312e-05,0.0465694499443543,0.17819636762204435,0.15628892951958445,855.0576844007517
2,18094,20974,2880,1,0.7011155606128521,-3.556021364116104e-05,0.08699271342912396,0.17426995703894588,0.22332276513816346,193.1091366731989
3,17374,20254,2880,1,0.5593115437047894,-2.8709011870377927e-05,0.10904011463797636,0.15842551422043036,0.1653887477549551,1071.7539836479418
4,16654,19534,2880,1,0.3913890944861155,2.283441643763085e-05,0.09683520164429515,0.1645094437986792,0.1141772202772598,1814.0163775799588
5,15934,18814,2880,1,0.34039819597949417,1.882800388821543e-05,0.21277432667574736,0.1622032291817699,0.12813614923220262,2171.1098304428574
6,15214,18094,2880,1,0.29526842579151025,2.3632427680281862e-05,0.25580272350976774,0.17178551769186776,0.12353034032862044,2344.5692754345737
7,14494,17374,2880,1,0.21116427005438454,1.309800848208507e-05,0.22935532712664775,0.16520693690156074,0.11174617914216489,2172.764511542313
8,13774,16654,2880,1,0.29456578639647635,2.321738590496934e-05,0.19538179114991716,0.21227780309258323,0.17308941855370774,1698.9441297116537
9,13054,15934,2880,1,0.2586076004878609,8.124988907676425e-06,0.1744807815443975,0.23184657841377557,0.13669374544287996,1400.3081949707682
10,12334,15214,2880,1,0.14796558381505398,-1.7564542664200093e-06,0.11929290447296326,0.19070319361636434,0.08897110359233115,2033.7648210849097
11,11614,14494,2880,1,0.3752512169974247,-2.6883103776584253e-05,0.085010894530827,0.1773645595163634,0.12595860005606066,1791.9617372191274
12,10894,13774,2880,1,0.4505822852834763,-4.4781110093102356e-05,0.09773815592011925,0.14825559757664153,0.07527864691343827,1976.3000896763497
13,10174,13054,2880,1,0.28181823351917157,-1.4775427572587501e-05,0.07311730247624537,0.1460337950244738,0.08747978623271431,2113.42570826346
14,9454,12334,2880,1,0.22299191125989248,6.58982103714739e-06,0.18147904663903025,0.18751218775467224,0.1621507144792586,1993.4446956080492
15,8734,11614,2880,1,0.48588574858106526,4.585226287288161e-05,0.23975041715279066,0.12607624709033582,0.11116163664027963,2571.7312140564277
16,8014,10894,2880,1,0.4829874581094413,3.075625829925091e-06,0.20872790406196917,0.1537491542216258,0.12957524360961836,2399.998729283796
17,7294,10174,2880,1,0.4506404616789803,-6.061859308370627e-06,0.10518905293408376,0.13373814839923664,0.1902442238076309,2199.731691718433
18,6574,9454,2880,1,0.447758207698969,-3.070183619269356e-05,0.014648519922781933,0.16114450577530862,0.14477511310477467,1876.3673176107973
19,5854,8734,2880,1,0.21836727878760442,8.275325411708785e-06,0.06018138647001248,0.13426421445421524,0.102377907174582,1213.9487924833807
