window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,13820,16700,2880,1,0.9112510494966878,0.003175589553143656,0.12084028467826191,0.21248229631871346,0.824196338034434,9461.071933546114
1,13100,15980,2880,1,0.9056065013959255,0.002432597305987522,0.10545252638239844,0.1588426573667018,0.8382312644818186,9215.475387922701
2,12380,15260,2880,1,0.8790914672914609,0.0009684763048923022,0.14840606765477082,0.19353416317146327,0.8094067591693981,9089.398803480955
3,11660,14540,2880,1,0.9048700323268676,-0.0020870301913033917,0.20990986629584774,0.3065219278507014,0.8028062381435227,8945.815787047035
4,10940,13820,2880,1,0.9250195441485127,-0.003174996026633461,0.23505607484022217,0.3475641067084869,0.8184173386717195,9201.686719765245
5,10220,13100,2880,1,0.9183500180900538,-0.0036826605971809374,0.2292981611291588,0.4700443457319593,0.796555443459394,9373.034858699944
6,9500,12380,2880,1,0.9093088528528179,-0.004109191082027093,0.2137159432658614,0.5108952150728447,0.8092943364815983,9841.765660943985
7,8780,11660,2880,1,0.92814068668242,-0.0050056496881686705,0.22652338133862016,0.3817052696913972,0.780560657908584,10058.61888296799
8,8060,10940,2880,1,0.8773327957467447,-0.0023990447370508027,0.24566017110406246,0.45819010708685937,0.7753067388561791,10285.766459601968
9,7340,10220,2880,1,0.7918398340105697,1.541243022782949e-05,0.3052444705366939,0.5616722321206219,0.7947400940692939,10358.356043385338
10,6620,9500,2880,1,0.8254998040002243,0.0024413620897332745,0.34566467770679654,0.6014115878549284,0.7838142685389288,10538.931872827925
11,5900,8780,2880,1,0.8959941184126263,0.004053175677460064,0.3119146773566698,0.5293564428013449,0.7927527058806328,10551.551933598676
12,5180,8060,2880,1,0.9084461032044996,0.004583059109445388,0.33398563917765134,0.48015070137679394,0.7962070834862051,10601.679808874509
13,4460,7340,2880,1,0.8982085063226966,0.003376541589050353,0.3046034988842963,0.3701093591433577,0.7981272324200112,10436.343768995088
14,3740,6620,2880,1,0.8208397337985552,0.0005181288080971477,0.19732364016339987,0.34717905423443124,0.7942734970948475,10387.088215304717
