window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,14060,16940,2880,1,0.9202495988873971,0.006427919320646037,0.7436140688119468,0.9426393604351734,0.8457505127311671,10868.007311507497
1,13580,16460,2880,1,0.9480921520185314,0.008902516696846212,0.7397934103456658,0.9162026048940243,0.8739547156053954,10472.056978461253
2,13100,15980,2880,1,0.9424243214010981,0.007850040371759072,0.7328421145081534,0.8942811684598088,0.8948350120075936,10022.551721914835
3,12620,15500,2880,1,0.9274639100528185,0.005456570104359311,0.7464953218708068,0.9022621176510566,0.8968386879645808,9603.170067981086
4,12140,15020,2880,1,0.8854519263382779,0.0009324211255118828,0.7656245638265582,0.908620339041384,0.9021023676524069,8999.54667159261
5,11660,14540,2880,1,0.8961474122137105,-0.004055502695182306,0.7465612885622912,0.892210177091588,0.9192020290056554,8687.17751281045
6,11180,14060,2880,1,0.9321003820527132,-0.006946268277481597,0.7649053901028906,0.8909737154883094,0.9057483963912225,10193.608146271072
7,10700,13580,2880,1,0.936221521552555,-0.007773513776621226,0.7440819187336907,0.8956950974934074,0.9184440538971613,9311.771237943372
8,10220,13100,2880,1,0.9424670528101717,-0.008945789120966635,0.7491179444842015,0.9156319621367262,0.9203096849473487,9491.969212274602
9,9740,12620,2880,1,0.9384550600968373,-0.009133620091712542,0.7006524789872035,0.8844997628561497,0.8995901476898933,10612.188139665328
10,9260,12140,2880,1,0.9333797992579966,-0.00925951500038488,0.6795581789018014,0.9129611272946359,0.9170233497060616,10708.848421266874
11,8780,11660,2880,1,0.9292753367270815,-0.00787766368935875,0.6914939849646069,0.9129561242422113,0.8982063922187608,9647.393982523783
12,8300,11180,2880,1,0.889268429790266,-0.003216203665779486,0.677296176856836,0.8907212667058931,0.8959259431118037,9577.56818134402
13,7820,10700,2880,1,0.7828621422927589,0.0004998786949086619,0.5668978489281656,0.9049176739513625,0.8440869700177942,10671.397900637774
14,7340,10220,2880,1,0.8048773286232194,0.004027435143399838,0.5863539271649092,0.9173268979405634,0.8490356576887748,11198.624467836831
15,6860,9740,2880,1,0.8375315157024822,0.005542711271386153,0.6222354230574628,0.9236599719876615,0.8537151304826085,11355.79868020423
16,6380,9260,2880,1,0.875717405589984,0.0070267053518974715,0.605776048066927,0.8963040807132009,0.8571460232378042,11447.047507272337
17,5900,8780,2880,1,0.8758041127103235,0.007519128380645592,0.6050209031394572,0.8983647604268373,0.881061131558865,11260.550228232896
18,5420,8300,2880,1,0.884209403823939,0.00852879399380359,0.6227950251140595,0.9040258974333951,0.8878481086393211,11484.661262064083
19,4940,7820,2880,1,0.9168728130510748,0.008642848618760359,0.7015666879533253,0.9064564694853673,0.8754566910908477,11141.323618642353
