window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,16944,19824,2880,1,0.17235565657156038,0.0056066392286095185,0.7608770767007067,0.9430591609468489,0.7745154696011567,21443.04114510415
1,16224,19104,2880,1,0.19328733004773657,-0.004853615724640483,0.771132601267545,0.9084809909114702,0.8220665512895133,21086.8608482393
2,15504,18384,2880,1,0.17779933650539026,0.002673447828525513,0.7533439582677628,0.9298236856061786,0.8288433364208728,20870.07062408683
3,14784,17664,2880,1,0.18553176523854198,0.006759324736542374,0.7882253400246368,0.9372758488320709,0.8367771682795131,20617.427523856393
4,14064,16944,2880,1,0.15247718334871463,0.002332101247211729,0.7940938694855725,0.9606608588315517,0.8534166121882013,20502.64863110869
5,13344,16224,2880,1,0.0884411248339172,-0.010010381981749202,0.7500710346951742,0.9353030414236007,0.8744652311135486,20711.69948740056
6,12624,15504,2880,1,0.09258948317782201,0.002688737201016934,0.7573082452935757,0.94439583467796,0.8962068221595525,20754.18812367823
7,11904,14784,2880,1,0.12395798739246033,0.024064707015025107,0.7331249693346297,0.924799130981856,0.9000718966309661,20567.69470945148
8,11184,14064,2880,1,0.30377731923830453,0.026409641580066152,0.7524984146285943,0.9373365396601775,0.9092006161233205,20481.55019041185
9,10464,13344,2880,1,0.39865940300929514,-0.0009991507424300084,0.8211530543199324,0.9358119905703725,0.8900300393768166,20155.636845251767
10,9744,12624,2880,1,0.46917281619079065,-0.009111207683102734,0.8137160887644804,0.9313232233350961,0.9209455477038858,19445.15836434192
11,9024,11904,2880,1,0.5623733052732314,-0.0196554954476814,0.873783391446334,0.8910929002256831,0.9008532906632667,19681.723509551426
12,8304,11184,2880,1,0.29977927686739525,-0.0016605238555215786,0.824522993282562,0.970597691123225,0.8875743053931112,19866.502657668254
13,7584,10464,2880,1,0.23911305630478796,-0.01788857835430079,0.7580321304910644,0.9778467757678072,0.9200002019760675,19967.026016566713
14,6864,9744,2880,1,0.1231580254586272,0.0026910913749237848,0.7295146523245611,0.9781456887147547,0.9290563648490073,19961.15640026048
15,6144,9024,2880,1,0.09650832058658698,-0.005528769112720674,0.6683826131310151,0.9732445606304992,0.9521775016217837,19393.69428139784
16,5424,8304,2880,1,0.1121311236140412,-0.004233046089761752,0.6856520409693039,0.9646463310051464,0.959821558635177,18630.971287780856
17,4704,7584,2880,1,0.10861278284069376,-0.01704415271125993,0.7281530838695909,0.968985999420847,0.9409324598786134,19314.261061006706
