window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,16944,19824,2880,1,0.06365304863724275,1.3392756003333943e-05,0.8253255151687999,0.9474903073825208,0.6855991343347726,21315.26300866703
1,16224,19104,2880,1,0.13162775830918882,-0.0032545879691771393,0.8486198075584597,0.9518227166464555,0.7012245420056854,20939.50494588104
2,15504,18384,2880,1,0.14774695383760994,0.011129780425922754,0.8446649701902076,0.9401275046945031,0.731139688899991,20737.743100497406
3,14784,17664,2880,1,0.13432726395909456,-0.0025534939861080156,0.8353039132388926,0.9340119195722243,0.7718522837791238,20435.565705130874
4,14064,16944,2880,1,0.25863347956058336,-0.004302569016595659,0.8859585592821716,0.9497337513606058,0.7407412027889706,20362.630462857076
5,13344,16224,2880,1,0.2043745079437177,-0.01521164014257377,0.860399353099766,0.951095621193903,0.7823279304319671,20505.029221504785
6,12624,15504,2880,1,0.21519702217307524,-0.0009467152028780626,0.8809984938212861,0.9591625143319676,0.7292365634862861,20542.61324390078
7,11904,14784,2880,1,0.36377914799024436,0.026452636303766642,0.8910829151103334,0.957951233057173,0.6922788086519647,20333.543313190185
8,11184,14064,2880,1,0.4598053382773374,0.025610595337161327,0.8586359949725858,0.9495419426329271,0.8192179097000306,20301.391722917702
9,10464,13344,2880,1,0.4997910035931007,0.0046022361935687435,0.8856811236242176,0.9406340194116669,0.8319263778484809,19919.192294474942
10,9744,12624,2880,1,0.4330693479104897,-0.02071280369284573,0.8370826379089659,0.9423018275678113,0.9094233597955762,19387.75756276219
11,9024,11904,2880,1,0.4974190108093822,-0.013590794130785566,0.8800203967992375,0.9437008513453656,0.8406093357474428,19558.21635584635
12,8304,11184,2880,1,0.3848416273140124,-0.002972643392832736,0.887873885891047,0.9806288234458967,0.8199433468471814,19689.29972100161
13,7584,10464,2880,1,0.3526986084020871,-0.008769622760758274,0.8663325012293556,0.9771007593020756,0.8066512698556629,19784.327354502275
14,6864,9744,2880,1,0.32118729484031916,0.00027474345157234726,0.8951443845107085,0.9818603904375466,0.7654260410285648,19733.07425398365
15,6144,9024,2880,1,0.2940495522446551,-0.009867995482992019,0.8622246639118292,0.9800504176074292,0.8561235321480505,19140.41221461998
16,5424,8304,2880,1,0.35202518502655644,-0.009485222707289477,0.902936557420476,0.9864465283270532,0.9008372723090535,18386.149757930245
17,4704,7584,2880,1,0.34376475600910783,-0.0028892260869340445,0.8775122286297036,0.9590228682397143,0.8563519933281889,19118.086664682127
