window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,15385,18265,2880,1,0.9312219112104819,-0.0002774191139620047,0.6947318092314025,0.5843969024171274,0.9062504044723669,8233.074604023433
1,14665,17545,2880,1,0.93599885814203,0.0010224070003175976,0.7171495193185153,0.6348494187956802,0.9282336348853776,7955.06156047618
2,13945,16825,2880,1,0.9136390637088997,0.0029422763563736903,0.6995311867360343,0.6830501745417115,0.9231793822785974,8414.621728795326
3,13225,16105,2880,1,0.8758921719974211,0.0015026655121551714,0.6956472368214934,0.674660674634495,0.9080889148698355,8245.46620483657
4,12505,15385,2880,1,0.6979601725351589,-0.0010323195894675768,0.6024930712600356,0.7476103297876826,0.9303840312240028,7202.016064128191
5,11785,14665,2880,1,0.6615738338112823,-0.0005478491786790266,0.6320787219665298,0.7869415233015515,0.9321037507822885,7408.393178442977
6,11065,13945,2880,1,0.7442150242941614,-0.0012476786220138936,0.7535775477951729,0.8394865766027152,0.9053307256807622,6862.025888267871
7,10345,13225,2880,1,0.8887463855347452,-0.002891832330974572,0.7111703845919621,0.8428840954405608,0.9366245022726448,7222.004726820146
8,9625,12505,2880,1,0.8647723287537865,-0.0027797118061115497,0.7042909705873424,0.8083638252574911,0.8938443614658066,7332.86076852836
9,8905,11785,2880,1,0.8859430906318652,-0.003854334199854523,0.6096844755876161,0.8077160384147022,0.9194339854894172,8091.389500406136
10,8185,11065,2880,1,0.8811014976728268,-0.003746148360300906,0.6417340871048198,0.7858048741063198,0.9127456593428617,8185.741688464344
11,7465,10345,2880,1,0.8877183364019878,-0.004018820501311622,0.6534181440129603,0.8149764515821087,0.8922205252322506,7631.705541056269
12,6745,9625,2880,1,0.7605365880009118,-0.0016033610130669292,0.6732595929983247,0.8465770920046753,0.9196782780749252,8075.093456547802
13,6025,8905,2880,1,0.9376964149755446,-0.002781890867379382,0.8043895351223207,0.8600057817707414,0.8671177441891676,7626.360398780274
14,5305,8185,2880,1,0.9480520956041485,-0.0024241467898037466,0.790086964194024,0.8679486601362473,0.9081449512541371,6968.58383789636
15,4585,7465,2880,1,0.9483942733067277,-0.003113246904834499,0.7461803377167329,0.8452762344694434,0.8971580862163345,7411.551355924439
