window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,15385,18265,2880,1,0.37803714159271595,-0.0011592315936924285,0.0,0.32939828492788703,0.9446961912902004,11518.144750988713
1,14665,17545,2880,1,0.3301507259305635,-0.002480973000280597,0.04034607531021395,0.22199510968749667,0.9394238873362947,11950.309734264802
2,13945,16825,2880,1,0.3458800242461091,0.0020414326702870708,0.05068151522054554,0.08366527574910726,0.9494919296273913,11759.713536478153
3,13225,16105,2880,1,0.1774560140681899,0.004955267548139797,0.05085236987467312,0.09582702465449651,0.9596698705599569,11837.578248891761
4,12505,15385,2880,1,0.10047211506974518,0.0032349408212299273,0.04496104875798668,0.32055399182251515,0.9584993441196775,11552.665287548749
5,11785,14665,2880,1,0.22683528136632825,-0.00017896262897435574,0.05565709205510028,0.6394885960612008,0.957410459919046,10979.289974464089
6,11065,13945,2880,1,0.18321257211985753,-0.0009766883467736054,0.07672230228177723,0.6364932129707089,0.9559601714684006,11037.59018970823
7,10345,13225,2880,1,0.2641735836699267,-0.002929529524252659,0.08893446842178598,0.6153064034865134,0.9586738075101743,10607.013842764103
8,9625,12505,2880,1,0.2829752843120935,-0.0016083811207945051,0.10509893909636991,0.705976380932568,0.9480245647836518,10244.30299867191
9,8905,11785,2880,1,0.4326646330921107,-0.002595658574610246,0.15176498019551865,0.6746515442062943,0.9269045784540457,9903.667929953423
10,8185,11065,2880,1,0.625764897749174,-0.003024136805538466,0.27713659041956695,0.794085872793812,0.9456601864687676,8932.579784314941
11,7465,10345,2880,1,0.7402444942149189,-0.0035305277041733033,0.38772060582469114,0.7236748032609196,0.9336710372250577,8519.853250777363
12,6745,9625,2880,1,0.5905154277385154,-0.0014088127214463926,0.43133144307967286,0.8149204347669262,0.9223539970161533,8645.365744216575
13,6025,8905,2880,1,0.32127615807842314,-0.0016527351142397876,0.0240732798765686,0.7350364497232338,0.94811650282605,9463.48516192875
14,5305,8185,2880,1,0.31849519007623495,-0.002028810840232035,0.0677459055227081,0.7765411035976943,0.9693017170893619,9313.63485158885
15,4585,7465,2880,1,0.2623568687231994,-0.0028985821966030106,0.02582000451635169,0.7910045705502304,0.9676115713882885,10023.494856092686
