window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,14353,17233,2880,1,0.7195301914689036,-8.310989799546671e-06,0.08549410094889409,0.09775661826712521,0.9737368180576761,381.5535892942489
1,13633,16513,2880,1,0.9234274677805414,0.0004708611353795413,0.051830318858196556,0.06629149167986982,0.9757157842669958,716.0254973926174
2,12913,15793,2880,1,0.9471142449865254,0.0005883973255583857,0.016602576631782662,0.07328848180549834,0.9782675801968084,1347.6130234585844
3,12193,15073,2880,1,0.9330053525980379,0.0004719299682671676,0.027044877122219257,0.06954929502902168,0.9845219431637638,1232.4168175251239
4,11473,14353,2880,1,0.7767509236131492,0.00013900981973420803,0.10209065779889992,0.044576983071684326,0.978458366534961,-317.7448854099946
5,10753,13633,2880,1,0.8566044165107786,0.0001400383388050715,0.04364896930600859,0.08015215987460445,0.9746579265396933,-1602.175718890781
6,10033,12913,2880,1,0.8210239209186092,0.00010737801667774248,0.07583768322701478,0.1120069934624578,0.9800572613532754,-2385.1530347358857
7,9313,12193,2880,1,0.8553631585859821,0.00012452349242803363,0.08569573350980986,0.13947388538676497,0.9785789170721744,-2327.719101843464
8,8593,11473,2880,1,0.9190189311449858,9.502908661036278e-05,0.10605338311049761,0.06663764952071993,0.9419220341230218,-3308.202355782437
9,7873,10753,2880,1,0.897291024536493,7.157124213006719e-05,0.05338572916152806,0.19861278577442193,0.9457071155767921,-3845.284631902685
10,7153,10033,2880,1,0.8196652338138256,4.267536045345214e-05,0.06317779625388553,0.24938516188981305,0.9440429325963166,-3514.9769040928672
11,6433,9313,2880,1,0.8329047806126266,-4.6183819900581e-05,0.11431729078259045,0.16969611999017634,0.9640653714187069,-3589.941855159198
12,5713,8593,2880,1,0.8389246156334562,-8.588939200120766e-05,0.06933230158408699,0.14011325149645823,0.9770789885187919,-2268.4492454891833
13,4993,7873,2880,1,0.8127934122085045,-9.082310422447576e-05,0.007730948766812573,0.20315778152394212,0.9777202314658868,-2595.3074078146037
14,4273,7153,2880,1,0.6688304783859322,-6.526534367027756e-05,0.0,0.08767013766307943,0.9775557769252238,-2496.869510638633
