window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,13159,16039,2880,1,0.4333056794317103,-0.0018624099478887026,0.7194047453948024,0.8689299058198737,0.7989910349571321,13536.24696131569
1,12439,15319,2880,1,0.6433396068791826,0.003199489115554657,0.7033499725596056,0.8027348287950204,0.7720204389903996,13828.600263381195
2,11719,14599,2880,1,0.7053500324529385,0.006684506211563787,0.6892963366450855,0.7796873572341352,0.7559050243379234,14205.21827591761
3,10999,13879,2880,1,0.6299340449894599,0.002964525888515112,0.6759321286187376,0.7778226242359547,0.7428580862320384,14312.065005450844
4,10279,13159,2880,1,0.5778000437178323,-0.0037864526830580295,0.6060527951365442,0.7357079555530941,0.7290659848410236,14348.427554673433
5,9559,12439,2880,1,0.5701375006841773,-0.00433464136468344,0.593477797213031,0.7377678670306514,0.7135253380537021,14159.409162853968
6,8839,11719,2880,1,0.47935082539868445,-0.0005890938209420382,0.6427301772692597,0.7473066982324846,0.6988945837143523,13691.883082887343
7,8119,10999,2880,1,0.4644555725328048,0.001139621031778845,0.6350041845766743,0.730893290133805,0.7630471733451623,13524.995043246354
8,7399,10279,2880,1,0.4066205991889317,-4.422486231479078e-05,0.6249327790296675,0.7192690622486767,0.7869578161459337,13508.31964857841
9,6679,9559,2880,1,0.42277508458214785,-0.0006075150590510464,0.5658367533784042,0.6949851266020531,0.8002934884870248,13573.751205215742
10,5959,8839,2880,1,0.36391793168530717,-0.0001825178595054795,0.5629365738451526,0.6275187938465764,0.79854040246064,13639.943888394948
11,5239,8119,2880,1,0.4170948526681143,0.0010270234744604431,0.5440397204990162,0.6194187557842948,0.7672007754744498,13646.892565159364
12,4519,7399,2880,1,0.4770134356567962,0.0021148456867004,0.5550073396892659,0.742692393761678,0.7440335880800341,14088.069974311864
13,3799,6679,2880,1,0.473204827672677,0.000162544650612462,0.5895284641041554,0.7343353609858526,0.734056304805351,13959.721767638892
