window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,4258,7138,2880,1,0.9900387373057382,4.232175737801901e-05,0.0,0.006187730891844085,0.6753054253503175,-4091.4352977998087
1,3808,6688,2880,1,0.9898924389187089,6.911084578968095e-05,0.0,0.0038624337921263343,0.7052907640303838,-3774.2808254473052
2,3358,6238,2880,1,0.9892387963406988,5.5993367701968406e-05,0.0,0.007359856011509503,0.6464585458914804,-3205.9659268055666
3,2908,5788,2880,1,0.9939003781125595,8.43077947574841e-05,0.0,0.01085694900673048,0.6664697596095996,-2597.801415599811
4,2458,5338,2880,1,0.994898073267615,0.00010395236567709436,0.0,0.013509976299054377,0.6876237558009336,-3569.0669550494245
5,2008,4888,2880,1,0.9961976764776596,0.00010223033290726824,0.0,0.014908689989377104,0.6494174318317484,-4134.978825859577
6,1558,4438,2880,1,0.9971524729050047,3.823298792535062e-05,0.0,0.014165802159670931,0.6314018132903356,-4888.384372506669
7,1108,3988,2880,1,0.9973420845347224,-1.128760701939781e-05,0.0,0.006544100862120211,0.6309149964591547,-4857.346739096549
8,658,3538,2880,1,0.9968549808405661,-4.684564290568076e-05,0.0,0.0015486663158294617,0.6592640268257672,-5078.866403253325
9,208,3088,2880,1,0.9978977863726685,-5.271934713292512e-05,0.0,-0.00043929821468338047,0.6314607669105406,-5300.1829631047385
10,0,2638,2638,1,0.9962101749409152,-1.3275403613637535e-05,0.0,-0.00023039587906546557,0.6225224913591255,-4309.012022481451
