window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,13944,16824,2880,1,0.4173351845985248,1.1142203622265771e-07,0.5559014341806927,0.7289395531454416,0.8341028363358495,-4450.923945461861
1,13224,16104,2880,1,0.40531493469404234,-6.6164163380406e-08,0.5255841265509799,0.7562996505102586,0.8490419500527704,-4491.706930673557
2,12504,15384,2880,1,0.4664533207103756,1.8471116114039375e-06,0.5038281408756418,0.6703110328440988,0.8672679183244054,-5448.023105551863
3,11784,14664,2880,1,0.43136142260089816,2.7760469262318803e-06,0.5821424344285799,0.8302156101583633,0.8806406067027196,-5695.964151698512
4,11064,13944,2880,1,0.4310291467793407,-2.1050845671461597e-08,0.6063983143522466,0.8268532606543414,0.8766363310610953,-5752.855376669808
5,10344,13224,2880,1,0.3575926294993077,3.7926080875990035e-07,0.5854654677401021,0.8034717699808122,0.8574682794177809,-5718.14955179916
6,9624,12504,2880,1,0.3261705082138513,5.230311390208487e-07,0.6099144195926967,0.8418846565897586,0.8630128508681412,-5799.545833964732
7,8904,11784,2880,1,0.3627260626249148,2.6584058877487137e-06,0.637161478041817,0.8231514420775118,0.8584804797770951,-5863.059739343361
8,8184,11064,2880,1,0.30930803300469045,2.5296035842140793e-06,0.6334422266468936,0.8985177801468102,0.887209295009779,-6032.614917770031
9,7464,10344,2880,1,0.32655383592867027,1.7857365938731774e-06,0.6118563595649675,0.8680562079918646,0.892446921408837,-6229.619142200737
10,6744,9624,2880,1,0.28098096367957626,5.318343039500374e-07,0.5548061024816082,0.8708971673602317,0.8803548187404922,-6281.088151166061
11,6024,8904,2880,1,0.3464866748236459,9.231820350512618e-07,0.532596728748313,0.8697465757335684,0.8785284717057341,-6114.200539097298
12,5304,8184,2880,1,0.3260067580606779,4.889088259554767e-07,0.5521010565856564,0.8388682665232,0.8455986558871803,-6053.722224364154
13,4584,7464,2880,1,0.38440477273979967,-1.2158569402359651e-06,0.6007454732652948,0.7944374196689564,0.8336618995892415,-6159.039005815157
14,3864,6744,2880,1,0.4338640506733189,-7.678461224875878e-07,0.5941311120381612,0.7507048062166429,0.8292919921356685,-5963.713708393465
