window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,49336,52216,2880,1,0.7161000775405935,-0.010924974574442664,0.19104812299944507,0.2895758120615331,0.9286072037945051,11795.707099559804
1,48856,51736,2880,1,0.5693538096459013,-0.00781465953109688,0.1391370689514927,0.5522536294069754,0.9433302795351917,12384.008719189082
2,48376,51256,2880,1,0.5783249058290048,-0.0035361412667634343,0.26926786168983474,0.5356758192982247,0.953413111439777,12505.329470416273
3,47896,50776,2880,1,0.5014665307072625,0.0037652138979625076,0.1990264662094141,0.721704460404119,0.9606660854784002,12642.773081456784
4,47416,50296,2880,1,0.5021321585682653,0.0014455184550100485,0.2179638959343677,0.6877169830077042,0.9625714059189754,12807.160111575264
5,46936,49816,2880,1,0.6038640304557643,0.006028817127592786,0.27797680096464483,0.7223786764724865,0.9640549221868129,12898.288784995606
6,46456,49336,2880,1,0.6039533955617014,0.005522223211561418,0.26328631494328647,0.6801234583462781,0.967628135165853,12722.044827279322
7,45976,48856,2880,1,0.700093778347562,0.00791995593313637,0.3456636505820424,0.7597330237450083,0.9647448885629619,12350.817298279819
8,45496,48376,2880,1,0.7005342529616072,0.004207152426297266,0.4170014881763615,0.801194336746111,0.9471447542232961,12450.741369860769
9,45016,47896,2880,1,0.778449734321552,-0.006625801904270485,0.21410838315979464,0.7286530661741499,0.8375382635546064,14094.02824112166
10,44536,47416,2880,1,0.7858850652302873,-0.011569098848036724,0.456323586618412,0.826947829876589,0.8696637011572612,14174.405862697062
11,44056,46936,2880,1,0.8110981383242187,-0.0042207960234950746,0.45311172264250965,0.77799898679099,0.863607424208217,14149.932795319604
12,43576,46456,2880,1,0.8241729590776,0.004635219872783122,0.4308403676120086,0.8243546569833696,0.8694335532299756,14140.529576636396
13,43096,45976,2880,1,0.7955235990419247,0.014390748802832084,0.3704969908381317,0.6882841907390524,0.8493797074503008,14246.224041697358
14,42616,45496,2880,1,0.813760089995577,0.016776851261904653,0.4373430396830882,0.748191162622883,0.9397198451591193,14422.357909010007
15,42136,45016,2880,1,0.6431725360036233,0.005225273317878833,0.5707125026016506,0.7985562447416065,0.8975770050413054,12619.033179546492
16,41656,44536,2880,1,0.3952863077631368,0.0010020105829513866,0.4141661882127816,0.7994200019263867,0.906990235665386,12323.868997422614
17,41176,44056,2880,1,0.349756173522759,-9.021134872647242e-05,0.3926856819549228,0.7260701545089929,0.9042547839108359,12258.7756878475
18,40696,43576,2880,1,0.22881334480785864,0.0012116701450964067,0.4031502919685648,0.7208174236270616,0.926150810638669,12365.969179806489
19,40216,43096,2880,1,0.3446455444123847,0.004620419864136064,0.5325533588009246,0.8345725725747893,0.9185773178806376,12470.23619533264
