window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,49768,52648,2880,1,0.6215701094377177,-0.00736612602752158,0.1065414181403429,0.43828258647266105,0.9110205262516547,11194.33335928123
1,49720,52600,2880,1,0.622053154014765,-0.008610516476726037,0.07589177729537377,0.3445137530686414,0.9124309389196342,11426.893796071983
2,49672,52552,2880,1,0.6367013942569493,-0.00888429388216238,0.10285965096009142,0.4177889844912941,0.9098060013161504,11465.846236505166
3,49624,52504,2880,1,0.6827038407187831,-0.009752363003570554,0.14869181249788244,0.42691238066219656,0.9248402230289716,11341.130275748907
4,49576,52456,2880,1,0.7055741465194609,-0.010197650711347093,0.16125124241433642,0.4184912802918278,0.9164330105895213,11527.633419641383
5,49528,52408,2880,1,0.7146736510163705,-0.009958423286274888,0.147096988711524,0.4434477206498916,0.9146824890627862,11262.060883889819
6,49480,52360,2880,1,0.7220442853751153,-0.01010989449685825,0.16050215493262365,0.46241478733736563,0.9195273068233006,11347.441644306047
7,49432,52312,2880,1,0.7110428610982951,-0.010619971509545831,0.16886658270178245,0.49426965954014623,0.9053152371373553,12133.106016105132
8,49384,52264,2880,1,0.7443727663602573,-0.013223591007241877,0.1284442265839394,0.4754100431257818,0.9175782444514483,12368.539331957996
9,49336,52216,2880,1,0.7676204013919332,-0.013588925941139186,0.24534868643439678,0.47306772883545856,0.918613200698459,11910.919014092997
10,49288,52168,2880,1,0.7234393932213332,-0.012627446558193745,0.1669494323063041,0.47093166245471035,0.9147318182533226,12055.403774374003
11,49240,52120,2880,1,0.6954449961331441,-0.011018369848567211,0.1486826176365773,0.46555516463917124,0.9239239805021765,11952.990078510074
12,49192,52072,2880,1,0.6789280267727748,-0.009692505687140817,0.1938234172301141,0.5156905949594779,0.9444687419998335,11969.76918363605
13,49144,52024,2880,1,0.6810306974648161,-0.009204950689346398,0.21508929573378177,0.4988446446554004,0.9399400267461562,12105.29924589955
14,49096,51976,2880,1,0.6082711242226428,-0.011200348529768032,0.15932398342708431,0.5240309273562809,0.9211771131710108,12584.076710932462
15,49048,51928,2880,1,0.5880183036984938,-0.013239521905907168,0.13878790848147948,0.53342723241741,0.9466152607302122,12314.525379074868
16,49000,51880,2880,1,0.6809323048044652,-0.01367240462065646,0.2139780055490602,0.5636337467817251,0.9271265124620126,12516.933651386724
17,48952,51832,2880,1,0.5947729700634781,-0.011177304603774118,0.0,0.44616686850359705,0.934827953175982,12374.000626820267
18,48904,51784,2880,1,0.5804697090816662,-0.008860297132719751,0.11488678844646294,0.5295705007720106,0.9441901175378804,12345.633963642435
19,48856,51736,2880,1,0.6061913636238827,-0.008402101166099754,0.12947924111431464,0.6287423764807899,0.9327296084570466,12487.629710955065
