window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,40720,42768,2048,1,0.31876394431363464,0.2518542610860454,0.8894408171840612,0.9556737740942755,0.9532250156853646,16293.614083707907
1,40000,42048,2048,1,0.2638500210326986,-0.17390326506112022,0.905844426232415,0.9680227904133227,0.8871572478557551,16390.851049287805
2,39280,41328,2048,1,0.3356063786559984,-0.07734306869601447,0.9282303327936207,0.984629604003886,0.8720110264533902,16372.039406029662
3,38560,40608,2048,1,0.3211422079044778,-0.13753985648960743,0.8732654034047838,0.9679690321269955,0.9535980808632685,16402.036134057817
4,37840,39888,2048,1,0.2635935463276099,-0.179919727828473,0.8211215087195998,0.9434881910311274,0.8740570636332267,15913.57401305399
5,37120,39168,2048,1,0.5930118030673746,0.3130031481732568,0.9364847785122526,0.9757113307252425,0.927457952830461,15371.95805098761
6,36400,38448,2048,1,0.41456614259495816,0.26535567671996946,0.9261462104091803,0.9539312270140103,0.936017070165945,15215.274447145996
7,35680,37728,2048,1,0.1690054711344554,0.02662518490327978,0.9219640811734839,0.9933112511490194,0.9555956459704696,15278.037769266028
8,34960,37008,2048,1,0.10191291155594884,0.15128118106348673,0.800124641359223,0.8790966808115553,0.8585148733305124,16285.827766545588
9,34240,36288,2048,1,0.23374389366147164,-0.12713834105458094,0.8490864078485131,0.9806619802023184,0.9343859097795892,16856.000695819206
10,33520,35568,2048,1,0.14212296065973107,-0.13165115425003707,0.8204052865207748,0.9758254535177545,0.9465882951951327,17149.516436842197
11,32800,34848,2048,1,0.25351178536299857,0.2676592089087564,0.8887893483142092,0.9467061359361882,0.9410210577757108,16925.65063746716
12,32080,34128,2048,1,0.20496247487568475,-0.13787031307696043,0.835317212169225,0.9469729219077672,0.9494525221262246,16605.05447733737
13,31360,33408,2048,1,0.17826436040469495,0.008766874852071789,0.8971136664261093,0.979757191931764,0.9226891468861281,15620.214027592112
14,30640,32688,2048,1,0.4725029927458523,0.37899765701413063,0.9140450577615703,0.95394769663347,0.9586483320016275,15467.49469067888
15,29920,31968,2048,1,0.4335801494873812,-0.1123023338855307,0.9307061799368213,0.989507413481892,0.9294702274238084,16426.624142084773
16,29200,31248,2048,1,0.41729344577342653,-0.477102492168496,0.8759777101831415,0.8835560811149771,0.9076240619986564,16768.223427582638
17,28480,30528,2048,1,0.02231251010986257,-0.05853154250259465,0.8174391151681529,0.968302983966632,0.9341234086680736,16856.262245178048
18,27760,29808,2048,1,0.11488283476933026,0.043284343369478236,0.9343618559959896,0.9423787950277541,0.8518042527999938,16402.938761337587
19,27040,29088,2048,1,0.23849235286091863,0.1336408753994181,0.9398517797495088,0.9920626644613935,0.9447219013787882,15607.158188765534
