window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,40720,42768,2048,1,0.3244963695718339,0.3085865604915397,0.8999673998765902,0.9534730725275127,0.9691479314695999,15336.943349682952
1,40000,42048,2048,1,0.496160391430963,-0.042695838548568066,0.9635535208635398,0.9844658864657383,0.9132918277687986,15111.366233387156
2,39280,41328,2048,1,0.1228542427850493,-0.10212122499495546,0.9197539898177952,0.9577647960600427,0.9567560722218212,15180.595034969603
3,38560,40608,2048,1,0.38626415834734895,-0.20272175657523822,0.911438705780162,0.9700042496236521,0.9696945106882642,15920.035626391797
4,37840,39888,2048,1,0.30607841911901634,-0.20018015034808448,0.8353089842450946,0.9581245145241823,0.9284526103145416,15125.298869777005
5,37120,39168,2048,1,0.548949988226995,0.24628582136863633,0.93140784048674,0.9825523937205706,0.9433935057025958,14455.886410170897
6,36400,38448,2048,1,0.3561288874099334,0.28508887830258806,0.904096898974361,0.93527785923374,0.9292482082151668,14764.108716376548
7,35680,37728,2048,1,0.11526164663135297,0.003717634725918786,0.9190288295359573,0.9848466657121305,0.9417420940548825,14800.621507345848
8,34960,37008,2048,1,0.4511998274745612,0.2556807761608233,0.9422568730932541,0.9779313153740263,0.8999285386521947,15222.070803466653
9,34240,36288,2048,1,0.5383675491285078,-0.14899762750645174,0.9478815607480869,0.9836094016237238,0.9318959451900048,15322.065008039921
10,33520,35568,2048,1,0.4322999583899858,-0.22821581339352362,0.9417893377216031,0.9887115471415309,0.9272679078413812,15203.115748760438
11,32800,34848,2048,1,0.1961177550965728,0.1467229662457128,0.9268109019277506,0.9856262524256222,0.9415514195378087,14742.505137497626
12,32080,34128,2048,1,0.16675407607574277,-0.15609328718890297,0.8706249873898038,0.9499170012464798,0.8791660813395401,15022.390150539028
13,31360,33408,2048,1,0.14415364652736462,0.03813152946997916,0.8970813649661162,0.9712607829030352,0.9787007974956379,15165.493704633695
14,30640,32688,2048,1,0.5008751672043582,0.36599926836752317,0.9367934270125491,0.9575867823690009,0.9651148291250198,14973.264681512388
15,29920,31968,2048,1,0.47259481436661754,-0.12931333284997282,0.9607660119658433,0.987501713806702,0.9580543319719618,15753.73429815446
16,29200,31248,2048,1,0.3014144296567497,-0.3378837300337155,0.9007691726646806,0.9451552161164275,0.9568986032256751,15072.843599201144
17,28480,30528,2048,1,0.156905011734232,-0.09630299413651523,0.9231604594853914,0.9867860453443446,0.9373582140799558,15694.246850761065
18,27760,29808,2048,1,0.09590007187697003,0.0037977834417504464,0.9310155085112604,0.9876316473746111,0.9410768094849856,15363.966706447562
19,27040,29088,2048,1,0.2782367202577466,0.1333379551373343,0.9770706822185196,0.9897988299577695,0.9564706152696559,14839.509043394306
