window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,16217,18265,2048,1,0.9312242640449038,-9.814032272936799e-05,0.591028451339715,0.6281606533787869,0.8949042818773904,5306.949303253522
1,15497,17545,2048,1,0.9495130802497016,-0.0036762276642364994,0.7561046989063973,0.5526895717251994,0.908416262530986,5611.684362611613
2,14777,16825,2048,1,0.9500713907921551,0.00565504492632932,0.7892005907019085,0.6215672680009758,0.8770620296048627,5769.033847473399
3,14057,16105,2048,1,0.9079280813432917,0.00362890475842217,0.7283814222100369,0.577480688716632,0.908105300312797,5842.9761644901555
4,13337,15385,2048,1,0.7770644247784824,-0.002021460416823808,0.6377476048986401,0.602394376760772,0.9401884793991563,5538.169838955331
5,12617,14665,2048,1,0.6014601437312652,0.0004508291314857055,0.5760259201361078,0.6781158963484947,0.93914689779503,5460.005149297909
6,11897,13945,2048,1,0.6365632908330889,-0.0007423133964330568,0.657642635825254,0.8113120138518858,0.9318716929885046,4918.176804506567
7,11177,13225,2048,1,0.6702590458660985,-0.0016903432474453446,0.7467826099434625,0.8561634811589716,0.9230805703362055,4434.675702829697
8,10457,12505,2048,1,0.8517513180926441,-0.0031776411494679187,0.6904615339575799,0.8212707192021409,0.9169837168452499,5122.9997667389525
9,9737,11785,2048,1,0.8355112430334799,-0.0028722356182935707,0.7148177313863779,0.8071383078331967,0.8859336148166828,5105.083701034058
10,9017,11065,2048,1,0.8690067102468302,-0.003294627993741711,0.6744012511266058,0.7641998080028773,0.8984817808256365,5761.206812703491
11,8297,10345,2048,1,0.9127012923614202,-0.00508467856800858,0.7424857658374946,0.7776842996334186,0.8690005038994012,5457.174194580337
12,7577,9625,2048,1,0.871420690936274,-0.003131145147550854,0.783812587878643,0.8215704076300551,0.8809270116255148,5624.293323757565
13,6857,8905,2048,1,0.7042972459425082,-0.00014335820144940358,0.7782623345497355,0.8089633186677653,0.8462487518249451,4912.286689193359
14,6137,8185,2048,1,0.9255140088116363,-0.0031842405562547325,0.717123773853089,0.8630131262480853,0.8932124010960101,5254.33669315661
15,5417,7465,2048,1,0.9411597331061906,-0.0036733766551016738,0.6847005591476945,0.8297643005818442,0.8773367819780583,4655.80629315837
