window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,16889,18937,2048,1,0.9006487817016844,0.003611226560522796,0.4532190906514416,0.6128443685934458,0.9355302345379661,5394.52000313992
1,16841,18889,2048,1,0.9487336375609872,0.004462073924122957,0.5699558099896933,0.6745788780919727,0.8928606513570612,5072.848797575905
2,16793,18841,2048,1,0.9445573471688893,0.005123450346311077,0.536754724325089,0.6799892718571262,0.8739519493432222,5381.368515057138
3,16745,18793,2048,1,0.9195133971197161,0.005416102907146519,0.41093340523720423,0.5944418102721638,0.897070837120518,5204.908417890319
4,16697,18745,2048,1,0.9446611012989206,0.005785188010942481,0.5289799277458456,0.6603696105081486,0.867661358107488,5313.493906158501
5,16649,18697,2048,1,0.9453204098357233,0.005783540150598277,0.553936551157317,0.6669381278538093,0.8785071994566553,4828.5257257736785
6,16601,18649,2048,1,0.9437184628261821,0.005441697896241095,0.5710725063350884,0.6900571360933521,0.871854928012397,4878.063273837186
7,16553,18601,2048,1,0.9441801872150913,0.0050512559255664145,0.5781809363004007,0.6860333753873991,0.8297414519354072,4976.543466752923
8,16505,18553,2048,1,0.9433231104760006,0.004462026047674003,0.5699959430746371,0.6730199906416902,0.8479549051676438,5169.012434242922
9,16457,18505,2048,1,0.9266308988481176,0.0039055242464040175,0.5173789487359777,0.6743874042072818,0.8682886038345686,5032.993312498675
10,16409,18457,2048,1,0.9290022953598148,0.0031633484773435326,0.5496047537821827,0.7010802823851301,0.8795533570411408,5656.98924654193
11,16361,18409,2048,1,0.9379025633387974,0.0023300599629187953,0.623246145064339,0.7056854777090361,0.8859876820678625,5141.714552077947
12,16313,18361,2048,1,0.9419955743827984,0.0016604938279895474,0.6482060046859572,0.7164307742943712,0.8756649862426984,5518.598094464909
13,16265,18313,2048,1,0.9451346554958057,0.0008427251102880028,0.6690550969589732,0.7045694019224963,0.8747322868219606,5348.991101826686
14,16217,18265,2048,1,0.9440776650312219,-1.0083276658085723e-05,0.6475473881423592,0.6827010128997767,0.8816929472697081,5353.409065623845
15,16169,18217,2048,1,0.9467475659921016,-0.000891073210128406,0.6755279245120547,0.6782881793559957,0.8835845083062648,5824.74111737033
16,16121,18169,2048,1,0.9498353016539256,-0.0016475135062729194,0.6851685862208172,0.6261631231234411,0.8960343979363565,5624.850783496899
17,16073,18121,2048,1,0.9494016786118064,-0.0024393538971458914,0.6888592363500801,0.6229565257902809,0.9042625009811627,5668.271078160931
18,16025,18073,2048,1,0.9520644103282547,-0.003491473892992742,0.7056299274153295,0.6132964381316526,0.9183832631199081,5631.112707758494
19,15977,18025,2048,1,0.9475951205585269,-0.004108979753204692,0.7085755145003092,0.6100995906542914,0.9000839502536024,5514.2059856032065
