window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,23718,25766,2048,1,0.31259478838460675,-1.559937246492707e-05,0.9783933151261995,0.639721588998286,0.9627728819264952,-351.50357492684003
1,22998,25046,2048,1,0.2000900089841453,2.4635893479893157e-05,0.9788422100066294,0.5276277018885074,0.976913195476645,-1325.614062696315
2,22278,24326,2048,1,0.16922796428605058,5.334857701120494e-06,0.9684330209153016,0.4257130654396749,0.9706297129314858,-308.58850056909637
3,21558,23606,2048,1,0.057583334643619755,-2.9047589719029704e-05,0.9588625207061093,0.28183804037853794,0.9263026004067896,-1260.5361183319883
4,20838,22886,2048,1,0.04256959506475755,-2.8270106344915832e-06,0.9428470571882702,0.2808924691496218,0.9709430015266816,-1307.8326908365175
5,20118,22166,2048,1,0.07260604829255646,-2.0722124635423102e-05,0.9674405907500665,0.49190465387548604,0.9731770823132694,-965.2472699954326
6,19398,21446,2048,1,0.12201994991234943,1.1880968935117944e-05,0.9790263608299932,0.6361235887902764,0.9478244192143357,-863.9701617583523
7,18678,20726,2048,1,0.21512357628075474,-2.8675636116928133e-05,0.9837363022659338,0.648556527029797,0.9484387895079507,-1082.825895576474
8,17958,20006,2048,1,0.21545062935301762,-4.093644424585348e-06,0.9818917508238777,0.5374231247238092,0.930352007998654,-368.14188532795515
9,17238,19286,2048,1,0.5964931258755489,5.931513131259478e-05,0.976483123914588,0.39993082150775683,0.9374493831655146,-1306.0302967433734
10,16518,18566,2048,1,0.348319557209239,3.4052789066562394e-05,0.9657253395785725,0.3737079286249155,0.9366702716940386,-2012.2270040083179
11,15798,17846,2048,1,0.22088891317427217,1.4187154436136178e-05,0.9735296313530005,0.5000890355137547,0.9322737565630395,-1659.3345964529344
12,15078,17126,2048,1,0.3830838387909108,0.0001290938323848688,0.9598746099107275,0.5796046052859459,0.9560037686564241,-393.95484017903135
13,14358,16406,2048,1,0.2064603240042301,4.0251895624358595e-06,0.9655835610427853,0.49986028926829024,0.9707019629580009,-725.2042485311104
14,13638,15686,2048,1,0.48832429033718816,-0.0001067865079529424,0.9681001971849854,0.34698831863522295,0.980518821307407,-101.43916399034003
15,12918,14966,2048,1,0.19679833465065,-7.037565909525713e-05,0.9498067127280365,0.23561830987234944,0.9803815880724932,-1586.111580233503
16,12198,14246,2048,1,0.19984298236409748,1.7307447585864353e-05,0.9686720682983023,0.35819502170652234,0.9540160904868377,-711.1581777085006
17,11478,13526,2048,1,0.29364858591482956,-2.468473748735208e-05,0.9692071350779158,0.5950233321855776,0.9725946785356774,-1546.7897957915093
18,10758,12806,2048,1,0.6575032384472946,-8.234191475804813e-05,0.9861467343118828,0.6704996931655082,0.9485803099938028,-1701.5696993794056
19,10038,12086,2048,1,0.5579239114422792,1.6132572458907166e-05,0.9877109412217797,0.6500594136192422,0.9657577241078955,-1303.1821852234998
