window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,49928,51976,2048,1,0.6482964075355262,-0.011581813017379589,0.10966198793392823,0.6642512711434213,0.9407877714511623,7992.670305728559
1,49208,51256,2048,1,0.4153945332721706,-0.0016358853944696942,0.13985913835526698,0.5793435454205155,0.9688312806286101,8468.625431450684
2,48488,50536,2048,1,0.3709580525750529,0.0018441316136620475,0.006324807845153546,0.36675301614850564,0.945478329782646,8812.176881616591
3,47768,49816,2048,1,0.5360150295502173,0.004079805363905743,0.13955520479345762,0.6193655817880188,0.947405297486317,9065.036295625228
4,47048,49096,2048,1,0.6389073781934798,0.005239485280688035,0.28303532985314084,0.7162715672676548,0.9468369772703876,9145.450194942148
5,46328,48376,2048,1,0.7783379693978618,0.012109757180349715,0.44219398492890316,0.8075460070883581,0.9605717438840523,8461.937788019688
6,45608,47656,2048,1,0.6808631771735942,0.0008502821289840275,0.3870655579838612,0.8543142549921052,0.943240150353011,8286.838591148666
7,44888,46936,2048,1,0.7601765837725349,-0.0207875794864724,0.13420140100033706,0.7841953529860839,0.9186768127191385,9808.2238241735
8,44168,46216,2048,1,0.6916283690030438,0.0025060440282244074,0.2451228827769537,0.7896294998571072,0.9070974833469962,9911.0226278581
9,43448,45496,2048,1,0.8360951962933538,0.02833860317899476,0.355793192370242,0.7609313610086533,0.9143238525484647,9827.565497486581
10,42728,44776,2048,1,0.5905174192655801,0.006287299067050887,0.4725930363179244,0.8154944347132812,0.9553688508492594,8663.857998891594
11,42008,44056,2048,1,0.27606835983909905,-0.0036735528950104313,0.32642374630053395,0.6246514847623518,0.8897574064620616,8575.968930988844
12,41288,43336,2048,1,0.30824279910111385,0.005238451033888438,0.17546371228644353,0.7722274703210554,0.8923417794316914,8566.609206348767
13,40568,42616,2048,1,0.24623204188351155,-0.00018443922018328906,0.24430650744831073,0.655350907467422,0.9609464554841262,8442.327199775831
14,39848,41896,2048,1,0.1882551820009991,0.0022304372559988125,0.34555503315263847,0.7190292703110083,0.9194676707211098,8523.58748498415
15,39128,41176,2048,1,0.46224728151128225,-0.007768929339520374,0.6255721664637806,0.8801925152207302,0.9344640470617248,9128.749824031913
16,38408,40456,2048,1,0.4934151410731461,0.0005556440240567318,0.6054844884596944,0.8987463283658761,0.9317171309392015,9257.358609263643
17,37688,39736,2048,1,0.4800933978989247,0.00464742328568442,0.7394661012101311,0.9138389780803439,0.9202081602143617,9666.341414343977
18,36968,39016,2048,1,0.3709949747506379,-0.010637826312579781,0.5550113668563177,0.8298411792372327,0.9038229192877114,9869.014751220682
19,36248,38296,2048,1,0.25050992706402253,0.0004036375610711165,0.6094011172755558,0.9075738744000141,0.923816634694286,10162.645184922523
