window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,100592,104688,4096,1,0.23905148109715058,0.013628881530870923,0.0,0.3262321524277052,0.19262416994350456,30043.359506994697
1,99872,103968,4096,1,0.307012049941622,0.015030732806036262,0.0,0.3535031844133014,0.1821318484066159,29432.873032886924
2,99152,103248,4096,1,0.21403106836484853,0.00762672144260494,0.0,0.16671760470675914,0.37715061801527205,28384.148265214666
3,98432,102528,4096,1,0.3560342218913405,0.003953055223071505,0.008037902558061583,0.24129177794370757,0.23755978944800088,27002.475615143398
4,97712,101808,4096,1,0.8590785108155221,-0.0002516531088957554,0.8421905696572802,0.18559364757870614,0.5717913205683173,7438.632626438348
5,96992,101088,4096,1,0.4231406466036789,-6.254490520714447e-05,0.8359184027785238,0.20858602723626968,0.5253436809473386,7150.891784251468
6,96272,100368,4096,1,0.45753912160998345,-0.0001893583170962321,0.4341380310568307,0.2781860592737369,0.9376048991718151,7714.900763701067
7,95552,99648,4096,1,0.4322988352343754,-0.00021551700982446414,0.3664266266214533,0.2230287496885857,0.9298945185731389,7859.750553090841
8,94832,98928,4096,1,0.63609796806097,-0.0003887188241222526,0.3818121360479416,0.36661130489222593,0.9250568428434193,8362.838042468076
9,94112,98208,4096,1,0.612321236839777,-0.0002854527889824258,0.32288480087744587,0.35053215348156785,0.914141918691321,8471.13738386519
10,93392,97488,4096,1,0.6570568715629519,3.079391480200475e-05,0.3867879511241151,0.34487605135105576,0.9270811870230525,8556.659589289715
11,92672,96768,4096,1,0.8310508600459399,0.00024883286323416703,0.5927765829502778,0.2961324036359145,0.764792761879081,9401.678095626132
12,91952,96048,4096,1,0.7589609437551472,0.0001576551886570808,0.4392739264210812,0.30487638236659875,0.8087767190089953,9084.237653015218
13,91232,95328,4096,1,0.7691612280693901,0.000298891747144968,0.4355856918319754,0.24680509843938434,0.830764143838845,9558.790004921382
14,90512,94608,4096,1,0.5775302629145158,-0.00012696325144819396,0.4805607818856108,0.2151867795715546,0.7892111682027225,9400.385878981177
15,89792,93888,4096,1,0.5965594639216389,-0.0001996756754198389,0.44645947146352705,0.26399111621215055,0.8179548742580188,9548.353121572269
16,89072,93168,4096,1,0.5902773600177735,2.0080051583398324e-05,0.4224458791194603,0.28481967899876953,0.8378629745358672,9455.407761062912
17,88352,92448,4096,1,0.5992926332167099,0.0001562825829113106,0.38179496218915254,0.2838466330720892,0.7038793668280944,9064.63444892944
18,87632,91728,4096,1,0.7170171738938107,8.3357156334514e-05,0.6026178668766592,0.2850864159959605,0.7367233164898112,8688.46387561401
19,86912,91008,4096,1,0.6684640092535387,0.0001587898036611439,0.5575862329635177,0.2793998716941481,0.7130191605615152,8969.668977737452
