window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,15728,19824,4096,1,0.15660450736519216,0.0030138439060146383,0.8149518735935614,0.9433745104504233,0.6832966691628228,31265.83635246797
1,15008,19104,4096,1,0.15018032896073574,-2.6459091103762093e-05,0.8203839818418692,0.9455961539977619,0.7066762486928939,31081.608679165576
2,14288,18384,4096,1,0.15935378252564625,-0.004232036211580889,0.7968030151194088,0.939191327434769,0.7566291971103903,30423.388810934797
3,13568,17664,4096,1,0.1429861274420985,-0.0013651649681988248,0.8428431576279145,0.9550126717842503,0.7561682071387483,30204.064484553222
4,12848,16944,4096,1,0.12155395317628803,-0.002818310498727342,0.8223946962924735,0.9544524471088583,0.7854478662853479,30095.04594206967
5,12128,16224,4096,1,0.11824031201402285,0.0006221611849276736,0.8278600378836781,0.963807310827739,0.8004934245728307,29981.41960799229
6,11408,15504,4096,1,0.22386421189541217,0.007695832966931044,0.7796362963996526,0.952231603830479,0.8555742907773087,29782.426886319252
7,10688,14784,4096,1,0.2048349464371465,0.009293972951513546,0.7829137473546977,0.9682314831178068,0.87998145258747,29484.474363910445
8,9968,14064,4096,1,0.3617008428581644,0.013861958610736429,0.8079670618348536,0.9160790655297574,0.8811789793579768,29281.213431855846
9,9248,13344,4096,1,0.3049324244843591,0.0018653808015420823,0.798725877300903,0.9622346735370113,0.8718271295125177,29152.688634784565
10,8528,12624,4096,1,0.28126550782149795,-0.00587025409500121,0.7702181103655297,0.9522284555142765,0.8742020713634227,29025.840474987886
11,7808,11904,4096,1,0.4091056026291858,-0.01476220363476036,0.8088513149883324,0.9645138573334894,0.881964000950957,29278.392825702926
12,7088,11184,4096,1,0.3498856753702353,-0.006757274714924351,0.8044855692837383,0.9526390368904675,0.8852982194010767,29058.13619539989
13,6368,10464,4096,1,0.3790854726622759,-0.006878985734755853,0.80892920646462,0.9545310564706612,0.8705973588217818,29008.82496537814
14,5648,9744,4096,1,0.3043661295079336,-0.0017058296661230236,0.8313095922567846,0.9683950155428719,0.8676782204147643,29078.91608504357
15,4928,9024,4096,1,0.24396752373282993,-0.00860000095582051,0.7842419470396738,0.9508895291908547,0.8740306811876737,28878.639582488035
16,4208,8304,4096,1,0.17433492173807275,-0.01071338958556648,0.8253894812540938,0.9696886889079895,0.8796845637700776,28645.965397011845
17,3488,7584,4096,1,0.1521937600061043,-0.003215806998159485,0.8253830729863744,0.9689460548447353,0.8726789300439923,28134.255382253643
