window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,30320,34416,4096,1,0.055795891245737916,0.0022786940564028233,0.7213028695407302,0.9415428670071351,0.893540456188299,28147.208215187416
1,29600,33696,4096,1,0.04755091952889212,-0.0026083895190210623,0.6542524381338923,0.9301332564453207,0.8972715071859596,28281.23838698621
2,28880,32976,4096,1,0.08471353761366374,-0.0015854609240359338,0.6583889218819927,0.9438312840418778,0.899376702471162,28393.80060811185
3,28160,32256,4096,1,0.09839755074041323,-0.009769776690426927,0.7477012241132804,0.9431909994959536,0.8580124931863852,28112.102277605412
4,27440,31536,4096,1,0.11840879243542535,-0.012769301170496261,0.7610587758056168,0.9444774637852272,0.8691992742242616,28181.176095717754
5,26720,30816,4096,1,0.061829938094542514,-0.006202296636325626,0.7450402355640591,0.9582096115159997,0.8865134478177553,28187.0530282513
6,26000,30096,4096,1,0.057592062909875064,-0.0007939039769294041,0.761617360911272,0.9546522227373213,0.87555055170684,28243.31350123259
7,25280,29376,4096,1,0.12095686739308498,-0.004162567567481524,0.7368090060031794,0.9607943477141307,0.883732300707594,28314.068273451183
8,24560,28656,4096,1,0.08336971024186679,-0.0024669074284894353,0.6577352147652,0.9570379703297672,0.9098194791532432,28662.29112671806
9,23840,27936,4096,1,0.11451824459614113,-0.0038632491440363597,0.6516149683512108,0.9580066425558121,0.8952841221877097,28758.989789054576
10,23120,27216,4096,1,0.11060213739401636,-0.00928870810910573,0.632098118172547,0.9533430384197566,0.8969755970381321,28749.862866172276
11,22400,26496,4096,1,0.07320678056086938,-0.0042852476104940935,0.5974303990966321,0.958754411095859,0.9044245940114366,28967.765534611754
12,21680,25776,4096,1,0.0631394781126019,-0.0030796956318857576,0.5981104051568692,0.9561813583527654,0.9133778994918449,28860.630458161446
13,20960,25056,4096,1,0.04390728342970518,-0.0006784112628569176,0.6248962514276732,0.9578194741121799,0.906850015318072,28868.24888304249
14,20240,24336,4096,1,0.03316377602597109,-0.0015011665341231272,0.6880717800925895,0.9478847763789776,0.870643720952339,28726.822437592047
15,19520,23616,4096,1,0.024421377190427584,-0.010369885305706105,0.7223548336115335,0.943586214984111,0.8880758438172793,28690.830713421128
16,18800,22896,4096,1,0.022813560511026565,-0.007405283677092142,0.7453459255423978,0.9419308036870752,0.8688840598404692,28733.25286514918
17,18080,22176,4096,1,0.023645097990115715,-0.002265616348850555,0.7741693207973737,0.9494392541230453,0.8916248546535925,28689.089554700644
18,17360,21456,4096,1,0.035273829678305946,-0.0007330048617548158,0.7789549425704667,0.9627335643899975,0.878553855877936,28631.806143659956
19,16640,20736,4096,1,0.006932965059009311,0.00695561849279278,0.7309861045274149,0.9712430459595619,0.9260667209443456,28661.16047970471
