window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,30320,34416,4096,1,0.029945379192800825,0.0016242455074687956,0.8008053913907183,0.9464757507556452,0.856215633700921,27607.27247450478
1,29600,33696,4096,1,0.04809237297598812,-0.004269441199339882,0.7546517344784253,0.9383375483901347,0.8672967578050859,27706.283333556465
2,28880,32976,4096,1,0.046815763432480284,-0.0011686935154935198,0.7704543050602084,0.9568099212435348,0.8557554430332395,27734.860921570118
3,28160,32256,4096,1,0.09578439578345,-0.008473876521532635,0.8015375738740561,0.9463811878332592,0.8316987599817879,27663.00607113359
4,27440,31536,4096,1,0.0855368942302619,-0.013010803225533425,0.8012518358627256,0.9479151685608022,0.8540826748575847,27544.411196047833
5,26720,30816,4096,1,0.039037100589211615,-0.005795318798315918,0.8094054567720073,0.9565971073980223,0.8304222201623633,27630.019733422298
6,26000,30096,4096,1,0.04561384910216426,-0.001122046260332751,0.8179331221401255,0.9529059877226002,0.8404880911949829,27790.763785261595
7,25280,29376,4096,1,0.06605062777457282,-0.002154370030523508,0.8026533924499958,0.9535181140629813,0.8378551184870572,27943.45199572653
8,24560,28656,4096,1,0.0660396390051331,-0.0016128739234228281,0.7733277572454373,0.9442464462844095,0.8568091482896975,27977.01081522479
9,23840,27936,4096,1,0.08320092115888478,-0.006089744944570387,0.7606525004978729,0.9528402220726729,0.8549517816850626,27931.329007583114
10,23120,27216,4096,1,0.08482053192240102,-0.00971996563630081,0.7471957939674891,0.9476432542038462,0.8685960258334047,27986.28331520116
11,22400,26496,4096,1,0.06853596829961117,-0.00500385828881336,0.7151361435683592,0.95667700160006,0.8970983962819318,28157.712223477756
12,21680,25776,4096,1,0.06120413504503086,-0.0047803338132575484,0.7057146668270656,0.9486817157105653,0.882962688454904,28208.698471318938
13,20960,25056,4096,1,0.04775776377320895,-0.0017693235402775802,0.7037483883838926,0.9465396445281221,0.8890663987189862,28176.316845344114
14,20240,24336,4096,1,0.040741333372825816,-0.005104860331257655,0.7048663867242801,0.944062816992901,0.8749910723856328,28191.238656915422
15,19520,23616,4096,1,0.03797833511293491,-0.00918797741672023,0.7252585001678062,0.941242363188274,0.8987807082880903,28327.70517640486
16,18800,22896,4096,1,0.0713066642192004,-0.0014975822093643977,0.7596289978558816,0.9429312723188918,0.8765511098104861,28156.3145100344
17,18080,22176,4096,1,0.04604452662816316,-0.002019963116806904,0.7976471996909836,0.9558418710729402,0.8760430798381055,28143.466185315527
18,17360,21456,4096,1,0.06333262366464631,-0.003075798671897234,0.794005023235933,0.9670127311545627,0.9012536064111487,28003.602958974214
19,16640,20736,4096,1,0.015576399671651808,0.007080167012858139,0.7594225432620283,0.969954931698149,0.9264298360807443,28066.705717691588
