window_idx,history_start,history_end,history_length,n_series,trend_strength,trend_linearity,seasonal_strength,seasonal_correlation,residual_autocorr_lag1,spectral_entropy
0,12728,16824,4096,1,0.1067007901886835,2.0502510926956532e-07,0.6620852809487792,0.7135596099754397,0.7608436080262568,-5586.4167259363285
1,12008,16104,4096,1,0.10743155396754611,4.812165993018312e-07,0.6640830065038228,0.7715838401212911,0.7709614874995228,-5729.593692221476
2,11288,15384,4096,1,0.09720352500662821,7.927764718499394e-07,0.6499225941126932,0.7509464659350461,0.7931643132465886,-6478.853983812949
3,10568,14664,4096,1,0.08167987810741151,5.38954662617627e-07,0.6810115485320813,0.8563671749973647,0.7918169221911722,-6814.245994358102
4,9848,13944,4096,1,0.10464912807569982,6.320991224463265e-07,0.7155330256195476,0.8393777366870544,0.8034789671231055,-6892.406790807132
5,9128,13224,4096,1,0.11175945831392886,9.629194646763476e-07,0.7277867934446602,0.8435849519103271,0.8064620459017338,-7002.488274998543
6,8408,12504,4096,1,0.10476327892375714,1.1560718760130704e-06,0.7209153841103423,0.8572629790966704,0.8132879721585484,-7242.569643599689
7,7688,11784,4096,1,0.056048354365811126,7.159923808687444e-07,0.7172027178835789,0.870283195980697,0.8201184865090325,-7244.860021863249
8,6968,11064,4096,1,0.041868487074230076,1.39353247231386e-06,0.7079179114820955,0.919203537521133,0.8484576756759012,-7443.4630406544675
9,6248,10344,4096,1,0.0,5.8238713297147186e-08,0.6794229250567168,0.8637376022047324,0.849200973950361,-7392.390318454757
10,5528,9624,4096,1,0.011710466081684245,1.251667994442195e-07,0.6614838058165498,0.8844807819015011,0.8243335202231787,-7493.067209216192
11,4808,8904,4096,1,0.00194175379731798,-3.285146472598129e-07,0.6492056257663896,0.8384441379386665,0.8130161605850065,-7506.2116039685825
12,4088,8184,4096,1,0.00017925533026630358,-3.9489542607551823e-07,0.6472824887144824,0.790843576540543,0.8039692682829026,-7472.363090118803
13,3368,7464,4096,1,0.0,1.9382975218738882e-07,0.6465809284037286,0.8100629493017406,0.8026754323793216,-7434.4228875777335
14,2648,6744,4096,1,0.0,-3.477222891696713e-08,0.6535939888197368,0.8067976161733992,0.7968620853898531,-7346.419987284175
